Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;42,00;616,00;14,00;14,00;14,00;21,00;17,00;29,00;9,00;9,00;5,00;5,00;3,00
2019-01-13;45,00;585,00;15,00;15,00;15,00;21,00;21,00;36,00;7,00;11,00;4,00;3,00;1,00
2019-01-20;43,00;516,00;14,33;14,33;14,33;19,00;13,00;36,00;5,00;10,00;15,00;3,00;1,00
2019-01-27;18,00;648,00;18,00;18,00;18,00;14,00;19,00;6,00;9,00;10,00;6,00;6,00;1,00
2019-02-03;22,00;880,00;22,00;22,00;22,00;20,00;12,00;4,00;5,00;14,00;4,00;4,00;3,00
2019-02-10;24,00;912,00;24,00;24,00;24,00;23,00;15,00;4,00;5,00;7,00;7,00;11,00;0,00
2019-02-17;28,00;504,00;14,00;14,00;42,00;22,00;18,00;4,00;15,00;12,00;5,00;4,00;3,00
2019-02-24;37,00;795,50;18,50;9,25;18,50;30,00;24,00;8,00;12,00;7,00;4,00;4,00;1,00
2019-03-03;33,00;676,50;16,50;16,50;16,50;18,00;17,00;7,00;12,00;4,00;13,00;3,00;0,00
2019-03-10;31,00;635,50;15,50;15,50;31,00;34,00;9,00;9,00;16,00;12,00;5,00;6,00;1,00
2019-03-17;22,00;770,00;22,00;22,00;11,00;19,00;19,00;4,00;9,00;12,00;4,00;5,00;8,00
2019-03-24;29,00;580,00;14,50;14,50;14,50;33,00;19,00;3,00;11,00;5,00;1,00;4,00;3,00
2019-03-31;47,00;626,67;15,67;15,67;15,67;16,00;20,00;16,00;5,00;8,00;12,00;7,00;7,00
2019-04-07;66,00;709,50;16,50;16,50;16,50;43,00;16,00;21,00;7,00;5,00;8,00;10,00;3,00
2019-04-14;47,00;1566,67;31,33;31,33;15,67;21,00;18,00;35,00;8,00;11,00;7,00;7,00;6,00
2019-04-21;54,00;864,00;18,00;18,00;18,00;29,00;18,00;37,00;7,00;12,00;7,00;10,00;11,00
