Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;47,00;2,00;12,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;17,00;30,00;0,00;0,00;0,00;50,62;0,00;0,00;7,00;7,00;8,00
2019-01-13;54,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,40;34,64;2,04;1,80;1,80;82,80;0,00;0,00;8,00;6,00;0,00
2019-01-20;39,00;8,00;13,00;0,00;2,00;0,00;0,00;2,00;3,00;0,00;23,00;28,00;2,00;0,00;3,55;70,91;0,00;0,00;5,00;2,00;6,00
2019-01-27;44,00;5,00;11,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;13,00;28,00;0,00;0,00;3,67;62,33;1,83;2,00;6,00;3,00;3,00
2019-02-03;28,00;6,00;16,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;16,00;50,00;0,00;0,00;0,00;63,00;0,00;0,00;11,00;5,00;5,00
2019-02-10;35,00;6,00;14,00;0,00;2,00;2,00;0,00;3,00;0,00;0,00;28,00;53,00;0,00;0,00;0,00;56,00;0,00;0,00;9,00;3,00;3,00
2019-02-17;40,00;5,00;16,00;0,00;2,00;0,00;0,00;5,00;0,00;0,00;18,00;70,00;0,00;0,00;1,82;72,73;0,00;0,00;3,00;2,00;0,00
2019-02-24;48,00;8,00;16,00;0,00;2,00;0,00;0,00;2,00;0,00;2,00;16,00;30,00;0,00;0,00;0,00;66,46;3,69;0,00;11,00;0,00;2,00
2019-03-03;52,00;3,00;18,00;2,00;0,00;0,00;0,00;3,00;2,00;2,00;16,00;46,00;0,00;0,00;0,00;58,93;0,00;0,00;3,00;0,00;2,00
2019-03-10;52,00;8,00;8,00;0,00;2,00;0,00;0,00;0,00;0,00;3,00;18,00;59,00;0,00;0,00;0,00;65,87;1,73;0,00;5,00;3,00;3,00
2019-03-17;48,00;7,00;23,00;0,00;0,00;2,00;0,00;3,00;3,00;0,00;12,00;72,00;0,00;0,00;0,00;58,29;0,00;0,00;7,00;8,00;2,00
2019-03-24;54,00;10,00;18,00;2,00;3,00;2,00;0,00;2,00;0,00;0,00;13,00;59,00;2,00;1,80;0,00;82,80;1,80;0,00;13,00;5,00;2,00
2019-03-31;48,00;7,00;16,00;2,00;0,00;0,00;0,00;2,00;2,00;2,00;16,00;60,00;0,00;0,00;0,00;70,15;1,85;0,00;7,00;2,00;2,00
2019-04-07;55,00;8,00;15,00;2,00;0,00;2,00;0,00;0,00;2,00;0,00;17,00;53,00;0,00;0,00;1,83;99,00;1,83;0,00;7,00;3,00;5,00
2019-04-14;54,00;7,00;20,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;13,00;58,00;0,00;0,00;1,80;75,60;0,00;0,00;7,00;10,00;8,00
2019-04-21;55,00;7,00;17,00;0,00;0,00;2,00;0,00;3,00;0,00;0,00;17,00;44,00;0,00;0,00;0,00;58,44;0,00;0,00;3,00;7,00;2,00
2019-04-28;47,00;6,00;15,00;0,00;0,00;2,00;0,00;0,00;5,00;0,00;15,00;61,00;2,00;1,81;0,00;75,92;0,00;0,00;6,00;0,00;5,00
2019-05-05;60,00;7,00;21,00;2,00;0,00;0,00;0,00;0,00;3,00;0,00;18,31;73,22;0,00;0,00;0,00;81,18;0,00;0,00;2,00;2,00;5,00
2019-05-12;61,00;12,00;19,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;15,00;57,00;0,00;0,00;1,79;71,76;0,00;0,00;8,00;3,00;0,00
2019-05-19;45,00;5,00;9,00;0,00;0,00;0,00;2,00;0,00;3,00;0,00;17,00;60,00;0,00;0,00;0,00;86,25;1,88;2,00;0,00;7,00;5,00
2019-05-26;63,00;9,00;10,00;0,00;2,00;2,00;0,00;3,00;0,00;2,00;19,00;63,00;0,00;0,00;0,00;98,00;1,75;0,00;2,00;5,00;7,00
2019-06-02;56,00;3,00;27,00;2,00;0,00;2,00;0,00;2,00;0,00;3,00;19,00;73,00;0,00;0,00;1,75;350,00;0,00;0,00;13,00;7,00;7,00
2019-06-09;56,00;12,00;7,00;2,00;2,00;3,00;0,00;2,00;0,00;2,00;22,00;100,00;0,00;0,00;0,00;122,50;0,00;0,00;5,00;10,00;5,00
2019-06-16;36,00;3,00;24,00;0,00;0,00;0,00;0,00;5,00;2,00;0,00;20,00;75,00;0,00;1,80;0,00;90,00;0,00;0,00;8,00;2,00;3,00
2019-06-23;40,00;7,00;9,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;68,00;0,00;0,00;0,00;94,55;1,82;0,00;7,00;3,00;7,00
2019-06-30;74,00;7,00;19,00;0,00;0,00;5,00;0,00;2,00;0,00;2,00;18,00;78,00;0,00;0,00;0,00;70,48;1,76;0,00;5,00;4,00;5,00
2019-07-07;47,00;5,00;20,00;0,00;0,00;0,00;0,00;2,00;3,00;2,00;27,00;92,00;0,00;0,00;1,81;72,31;0,00;0,00;10,00;3,00;5,00
2019-07-14;50,00;7,00;9,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;15,00;62,00;0,00;0,00;0,00;71,43;7,14;2,00;3,00;2,00;2,00
2019-07-21;59,00;9,00;30,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;24,00;63,00;0,00;0,00;0,00;76,35;1,74;0,00;5,00;0,00;2,00
2019-07-28;58,00;3,00;14,00;0,00;0,00;0,00;0,00;2,00;0,00;2,00;23,00;55,00;0,00;0,00;1,81;50,75;3,63;0,00;2,00;0,00;2,00
2019-08-04;49,00;5,00;10,00;3,00;0,00;2,00;3,00;0,00;0,00;2,00;21,00;49,00;5,00;0,00;0,00;77,00;0,00;0,00;3,00;2,00;3,00
2019-08-11;50,00;7,00;18,00;3,00;0,00;2,00;0,00;2,00;0,00;0,00;22,00;55,00;0,00;0,00;0,00;60,71;0,00;0,00;3,00;3,00;2,00
2019-08-18;45,00;7,00;17,00;7,00;3,00;0,00;2,00;2,00;0,00;0,00;10,00;44,00;3,00;0,00;3,46;72,69;3,46;0,00;7,00;5,00;8,00
2019-08-25;43,00;8,00;16,00;2,00;0,00;5,00;0,00;0,00;0,00;0,00;19,00;42,00;0,00;1,79;0,00;60,92;1,79;0,00;5,00;5,00;3,00
2019-09-01;55,00;6,00;20,00;2,00;5,00;3,00;3,00;3,00;0,00;2,00;16,00;76,00;2,00;0,00;0,00;69,67;0,00;0,00;3,00;6,00;3,00
2019-09-08;44,00;3,00;9,00;2,00;3,00;0,00;3,00;3,00;3,00;2,00;20,00;37,00;0,00;0,00;1,83;58,67;0,00;0,00;5,00;5,00;5,00
2019-09-15;43,00;11,00;17,00;5,00;2,00;2,00;0,00;2,00;3,00;0,00;21,00;42,00;0,00;1,79;3,58;64,50;0,00;3,00;6,00;5,00;3,00
2019-09-22;34,00;5,00;22,00;6,00;3,00;3,00;0,00;0,00;0,00;2,00;11,00;38,00;0,00;0,00;0,00;51,00;0,00;3,00;8,00;5,00;0,00
2019-09-29;65,00;30,00;17,00;3,00;0,00;3,00;0,00;5,00;2,00;0,00;32,00;40,00;3,00;0,00;0,00;61,39;0,00;0,00;3,00;2,00;2,00
2019-10-06;42,00;5,00;14,00;2,00;0,00;3,00;0,00;3,00;5,00;2,00;12,00;47,00;3,00;0,00;0,00;66,50;1,75;0,00;5,00;2,00;3,00
2019-10-13;40,00;6,00;5,00;0,00;2,00;0,00;3,00;0,00;0,00;2,00;9,00;44,00;0,00;0,00;1,82;58,18;1,82;0,00;5,00;6,00;3,00
2019-10-20;35,00;8,00;14,00;2,00;2,00;0,00;0,00;0,00;5,00;0,00;12,00;56,00;0,00;0,00;1,75;66,50;0,00;0,00;3,00;3,00;3,00
2019-10-27;49,00;8,00;14,00;3,00;0,00;0,00;0,00;0,00;3,00;2,00;14,00;56,00;0,00;1,75;1,75;56,00;0,00;0,00;9,00;5,00;3,00
2019-11-03;34,00;5,00;15,00;3,00;0,00;5,00;2,00;2,00;0,00;0,00;22,00;53,00;0,00;1,70;0,00;57,80;0,00;0,00;8,00;2,00;5,00
2019-11-10;40,00;6,00;24,00;4,00;0,00;4,00;1,00;1,00;3,00;0,00;16,00;38,00;0,00;0,00;0,00;65,45;0,00;0,00;10,00;3,00;1,00
2019-11-17;44,00;6,00;17,00;2,00;2,00;2,00;0,00;3,00;5,00;0,00;17,00;54,00;2,00;1,83;0,00;62,33;0,00;2,00;9,00;3,00;2,00
2019-11-24;21,00;5,00;13,00;2,00;5,00;5,00;0,00;2,00;2,00;0,00;11,00;43,00;5,00;3,50;0,00;45,50;0,00;0,00;9,00;5,00;9,00
2019-12-01;31,00;12,00;22,00;3,00;4,00;1,00;1,00;1,00;0,00;0,00;12,00;48,00;0,00;3,44;3,44;62,00;1,72;0,00;16,00;0,00;3,00
2019-12-08;39,00;4,00;7,00;0,00;1,00;1,00;0,00;0,00;3,00;1,00;24,00;42,00;1,00;3,55;1,77;42,55;0,00;0,00;13,00;3,00;3,00
2019-12-15;23,00;6,00;16,00;6,00;5,00;9,00;0,00;0,00;2,00;5,00;20,00;61,00;0,00;0,00;3,29;49,29;0,00;0,00;22,00;2,00;3,00
2019-12-22;40,00;2,00;14,00;0,00;0,00;7,00;3,00;0,00;3,00;5,00;35,00;56,00;2,00;1,82;0,00;72,73;0,00;0,00;16,00;0,00;7,00
2019-12-29;52,00;10,00;21,00;3,00;0,00;5,00;0,00;0,00;3,00;3,00;24,00;64,00;2,00;1,73;0,00;83,20;0,00;0,00;6,00;6,00;5,00
2020-01-05;73,00;6,00;13,00;4,00;3,00;1,00;0,00;3,00;4,00;0,00;19,00;78,00;1,00;1,83;1,83;80,30;0,00;0,00;4,00;1,00;9,00
2020-01-12;58,00;4,00;11,00;10,00;1,00;6,00;0,00;3,00;4,00;1,00;33,00;71,00;3,00;0,00;3,63;87,00;1,81;3,00;4,00;6,00;6,00
2020-01-19;65,00;10,00;10,00;3,00;1,00;13,00;1,00;1,00;0,00;0,00;19,00;81,00;4,00;0,00;0,00;86,67;3,61;0,00;7,00;3,00;3,00
2020-01-26;47,00;9,00;13,00;3,00;3,00;7,00;0,00;0,00;3,00;1,00;17,00;73,00;1,00;1,81;0,00;97,62;0,00;3,00;6,00;4,00;4,00
2020-02-02;44,00;3,00;26,00;4,00;0,00;1,00;0,00;1,00;3,00;3,00;10,00;58,00;7,00;1,83;0,00;62,33;3,67;0,00;6,00;1,00;4,00
2020-02-09;42,00;6,00;10,00;0,00;3,00;6,00;0,00;1,00;4,00;4,00;26,00;76,00;6,00;0,00;0,00;80,50;1,75;1,00;14,00;3,00;4,00
2020-02-16;45,00;4,00;16,00;4,00;3,00;4,00;0,00;4,00;4,00;1,00;14,00;86,00;3,00;0,00;0,00;69,23;1,73;1,00;1,00;4,00;4,00
2020-02-23;32,00;11,00;10,00;3,00;1,00;3,00;0,00;0,00;6,00;0,00;15,00;59,00;1,00;0,00;3,56;78,22;3,56;0,00;8,00;6,00;4,00
2020-03-01;26,00;8,00;11,00;4,00;1,00;3,00;3,00;1,00;3,00;0,00;19,00;59,00;6,00;1,86;1,86;52,00;0,00;0,00;1,00;7,00;3,00
2020-03-08;40,00;8,00;11,00;3,00;1,00;0,00;1,00;1,00;3,00;0,00;14,00;55,00;0,00;0,00;1,82;54,55;1,82;0,00;3,00;8,00;4,00
2020-03-15;26,00;1,00;3,00;1,00;1,00;4,00;0,00;1,00;1,00;1,00;10,00;28,00;0,00;0,00;3,71;44,57;0,00;0,00;10,00;1,00;4,00
2020-03-22;43,00;8,00;5,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;13,00;35,00;0,00;0,00;0,00;43,00;1,79;0,00;5,00;4,00;5,00
2020-03-29;24,00;4,00;14,00;0,00;3,00;1,00;0,00;1,00;4,00;0,00;14,00;30,00;0,00;0,00;0,00;24,00;0,00;0,00;7,00;4,00;1,00
2020-04-05;32,00;7,00;13,00;5,00;3,00;8,00;1,00;1,00;1,00;0,00;9,00;39,00;0,00;0,00;0,00;32,00;0,00;0,00;5,00;4,00;3,00
2020-04-12;27,00;9,00;9,00;3,00;4,00;5,00;0,00;0,00;3,00;0,00;10,00;33,00;3,00;3,38;0,00;47,25;3,38;0,00;10,00;5,00;3,00
2020-04-19;26,00;4,00;18,00;1,00;1,00;1,00;4,00;0,00;3,00;0,00;10,00;34,00;0,00;0,00;0,00;40,86;0,00;0,00;4,00;4,00;3,00
2020-04-26;15,00;4,00;10,00;3,00;3,00;1,00;0,00;1,00;0,00;0,00;10,00;36,00;0,00;0,00;0,00;33,75;0,00;0,00;5,00;1,00;5,00
2020-05-03;19,00;8,00;6,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;19,00;43,00;0,00;0,00;1,90;30,40;1,90;0,00;10,00;5,00;1,00
2020-05-10;22,00;4,00;4,00;4,00;0,00;3,00;0,00;0,00;0,00;0,00;14,00;44,00;0,00;1,83;0,00;44,00;1,83;1,00;4,00;5,00;3,00
2020-05-17;30,00;4,00;17,00;0,00;1,00;1,00;1,00;3,00;5,00;0,00;17,00;49,00;3,00;1,67;1,67;30,00;0,00;0,00;12,00;4,00;1,00
2020-05-24;29,00;14,00;23,00;3,00;1,00;4,00;0,00;0,00;4,00;3,00;21,00;26,00;3,00;0,00;1,81;36,25;0,00;3,00;4,00;5,00;5,00
2020-05-31;22,00;5,00;13,00;5,00;1,00;4,00;0,00;1,00;5,00;3,00;14,00;38,00;0,00;1,83;0,00;51,33;0,00;3,00;4,00;1,00;4,00
2020-06-07;22,00;3,00;8,00;3,00;1,00;7,00;0,00;0,00;7,00;1,00;19,00;26,00;0,00;0,00;1,83;58,67;0,00;0,00;8,00;5,00;7,00
2020-06-14;25,00;7,00;11,00;4,00;3,00;8,00;3,00;1,00;3,00;1,00;17,00;29,00;4,00;3,57;0,00;53,57;1,79;0,00;7,00;10,00;4,00
2020-06-21;29,00;3,00;16,00;4,00;0,00;6,00;0,00;0,00;4,00;0,00;23,00;45,00;3,00;0,00;0,00;47,13;0,00;0,00;4,00;1,00;4,00
2020-06-28;20,00;4,00;4,00;3,00;3,00;4,00;0,00;0,00;0,00;0,00;20,00;42,00;6,00;1,67;0,00;40,00;1,67;1,00;3,00;7,00;4,00
2020-07-05;32,00;7,00;7,00;6,00;3,00;3,00;1,00;3,00;3,00;3,00;12,00;37,00;1,00;0,00;0,00;46,22;1,78;0,00;3,00;6,00;3,00
2020-07-12;28,00;4,00;9,00;4,00;1,00;3,00;1,00;1,00;1,00;0,00;16,00;41,00;0,00;0,00;0,00;45,50;0,00;1,00;9,00;3,00;1,00
