Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;45,00;6,00;1,50;6,00;3,00;1,00;11,00;6,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,50
2019-01-13;45,00;6,00;1,50;6,00;3,00;1,00;9,00;4,00;0,50;0,00;0,00;2,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;49,00;7,42;0,00;5,94;1,48;1,00;11,00;6,00;0,50;0,00;0,50;2,00;0,50;0,00;0,00;1,00;0,00;0,00;0,50;0,00;0,00
2019-01-27;41,00;7,59;0,76;3,04;1,52;0,50;9,00;3,00;0,00;0,00;0,50;1,00;0,00;0,50;0,50;0,50;0,50;0,50;0,00;0,00;0,00
2019-02-03;51,00;7,50;1,50;4,50;3,00;0,50;10,00;6,00;0,00;1,00;0,50;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;50,00;10,61;1,52;4,55;3,03;0,50;9,00;5,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,50;0,00
2019-02-17;44,00;10,27;1,47;5,87;1,47;0,50;9,00;5,00;0,00;0,00;0,00;0,00;1,00;0,50;0,00;1,00;0,00;0,00;0,50;0,00;0,00
2019-02-24;49,00;9,19;1,53;6,13;1,53;0,50;10,00;7,00;0,00;0,00;0,50;1,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;54,00;7,50;1,50;6,00;3,00;1,00;16,00;5,00;0,00;0,00;2,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;62,00;10,59;1,51;9,07;3,02;1,00;10,00;7,00;0,50;0,00;1,00;2,00;0,00;0,50;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-03-17;59,00;12,10;1,51;6,05;1,51;0,50;11,00;4,00;0,50;0,00;1,00;0,50;0,00;0,00;0,50;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;59,00;10,33;2,95;5,90;2,95;0,50;12,00;9,00;0,00;0,00;0,50;2,00;0,00;0,00;0,00;1,00;0,50;0,00;0,00;0,00;0,00
2019-03-31;59,00;10,59;1,51;6,05;3,03;1,00;14,00;6,00;0,00;0,00;1,00;0,50;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-04-07;61,00;10,41;1,49;5,95;1,49;0,50;17,00;6,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;1,00;1,00;0,00;0,50;0,00;0,50
2019-04-14;61,00;13,73;1,53;10,68;1,53;1,00;13,00;5,00;0,00;0,00;0,50;1,00;0,00;0,00;0,00;0,50;0,50;0,50;0,00;0,00;0,00
2019-04-21;55,00;10,41;1,49;5,95;1,49;1,00;21,00;8,00;0,50;0,00;0,50;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,50;0,00;1,00
2019-04-28;69,00;12,00;1,50;4,50;3,00;0,50;14,00;9,00;0,50;0,50;0,50;2,00;0,50;0,50;0,50;0,00;1,00;0,50;0,00;0,00;0,50
2019-05-05;69,00;13,50;1,50;6,00;3,00;0,00;11,00;7,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,50;0,00;0,00;0,00;0,00
2019-05-12;65,00;11,82;1,48;10,34;4,43;0,50;28,00;10,00;0,00;0,00;1,00;3,00;0,00;0,00;0,00;2,00;0,50;0,00;0,00;0,00;0,00
2019-05-19;78,00;16,50;1,50;10,50;4,50;3,00;29,00;6,00;0,00;0,00;3,00;1,00;0,50;1,00;0,00;1,00;0,50;0,00;0,00;0,00;0,50
2019-05-26;74,00;19,24;1,48;14,80;2,96;1,00;23,00;10,00;0,50;0,50;0,50;1,00;2,00;0,00;0,00;1,00;0,50;0,00;0,50;0,00;0,00
2019-06-02;81,00;10,50;1,50;12,00;1,50;1,00;22,00;12,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;75,00;15,00;1,50;10,50;4,50;0,50;20,00;7,00;0,50;0,00;1,00;1,00;1,00;0,50;0,00;0,00;1,00;0,50;0,00;0,00;0,00
2019-06-16;72,00;12,00;4,50;12,00;0,75;2,00;27,00;15,00;0,50;0,00;2,00;0,50;1,00;0,00;0,50;2,00;0,50;0,00;0,00;0,00;0,00
2019-06-23;74,00;16,28;4,44;8,88;2,96;0,50;20,00;12,00;0,00;0,00;1,00;2,00;0,00;1,00;0,00;1,00;0,50;0,00;0,00;0,50;0,00
2019-06-30;69,00;12,00;1,50;7,50;6,00;0,50;14,00;11,00;0,00;0,00;1,00;0,50;0,50;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,50
2019-07-07;71,00;15,11;3,02;9,06;1,51;0,50;11,00;10,00;1,00;0,00;3,00;1,00;0,00;0,00;1,00;0,50;0,00;0,00;0,50;0,00;0,00
2019-07-14;64,00;16,76;3,05;6,10;4,57;1,00;15,00;9,00;0,50;0,00;0,00;1,00;0,50;0,00;0,00;1,00;0,50;0,00;0,00;0,00;0,00
2019-07-21;67,00;13,40;2,98;10,42;4,47;2,00;17,00;15,00;0,50;0,00;2,00;1,00;0,00;0,00;0,00;1,00;0,50;0,00;0,50;0,00;0,50
2019-07-28;56,00;17,68;0,74;8,84;4,42;0,50;12,00;7,00;0,50;0,00;1,00;1,00;0,50;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,50
2019-08-04;61,00;17,85;1,49;7,44;4,46;1,00;14,00;12,00;0,00;0,00;1,00;1,00;1,00;1,00;0,00;1,00;0,50;0,00;0,50;0,00;0,00
2019-08-11;66,00;13,50;3,00;9,00;3,00;2,00;11,00;15,00;0,00;0,00;1,00;2,00;1,00;0,50;0,00;0,50;1,00;0,00;0,00;0,00;0,50
2019-08-18;64,00;119,07;2,98;8,93;4,47;2,00;16,00;12,00;0,50;0,50;1,00;0,50;0,50;0,00;0,00;1,00;0,50;0,00;0,00;0,00;0,00
2019-08-25;56,00;151,35;3,03;9,08;6,05;0,50;12,00;8,00;0,50;0,50;0,50;2,00;0,00;2,00;0,00;2,00;0,50;0,00;0,00;0,00;0,50
2019-09-01;73,00;18,25;1,52;6,08;1,52;2,00;13,00;9,00;0,00;0,00;1,00;3,00;1,00;0,00;0,50;1,00;0,50;0,50;0,00;0,00;0,50
2019-09-08;62,00;11,81;1,48;10,33;2,95;1,00;10,00;9,00;1,00;0,00;1,00;2,00;1,00;0,50;0,50;2,00;1,00;0,00;0,00;0,50;1,00
2019-09-15;74,00;10,57;1,51;7,55;1,51;2,00;16,00;7,00;3,00;0,00;3,00;1,00;1,00;2,00;0,00;2,00;0,00;0,00;0,00;1,00;0,50
2019-09-22;66,00;12,00;1,50;9,00;1,50;2,00;19,00;8,00;1,00;0,50;1,00;1,00;0,50;0,50;0,00;3,00;1,00;0,00;0,00;0,00;1,00
2019-09-29;51,00;13,50;1,50;10,50;4,50;2,00;14,00;12,00;1,00;1,00;1,00;1,00;1,00;0,50;1,00;1,00;0,50;0,50;0,00;0,00;1,00
2019-10-06;54,00;13,50;1,50;7,50;3,00;2,00;10,00;10,00;0,50;0,00;3,00;2,00;0,50;1,00;0,00;4,00;0,00;0,00;0,00;0,00;0,50
2019-10-13;47,00;9,10;1,52;7,58;3,03;1,00;10,00;5,00;0,00;0,00;3,00;3,00;0,50;0,50;0,00;3,00;0,00;0,00;0,50;0,50;0,00
2019-10-20;53,00;9,09;1,51;9,09;1,51;0,50;16,00;3,00;0,50;0,00;2,00;1,00;0,00;0,00;0,50;1,00;0,00;0,00;0,00;0,00;0,50
2019-10-27;46,00;8,90;1,48;7,42;1,48;0,50;12,00;8,00;0,00;0,00;0,00;1,00;1,00;0,50;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-11-03;49,00;11,88;1,48;2,97;2,97;4,00;11,00;6,00;0,50;1,00;0,50;2,00;0,00;1,00;0,50;1,00;1,00;0,50;0,00;0,00;1,00
2019-11-10;45,00;9,00;1,50;13,50;1,50;1,00;14,00;8,00;1,00;0,00;3,00;1,00;0,50;1,00;0,50;2,00;1,00;0,00;0,00;0,50;0,00
2019-11-17;50,00;9,09;1,52;6,06;1,52;1,00;14,00;7,00;1,00;0,50;1,00;0,50;0,50;1,00;0,00;2,00;0,50;0,00;0,00;0,00;0,50
2019-11-24;71,00;16,27;2,96;11,83;1,48;3,00;17,00;7,00;2,00;0,00;2,00;3,00;3,00;0,50;1,00;3,00;1,00;0,50;0,00;0,00;0,50
2019-12-01;55,00;10,41;1,49;8,92;2,97;2,00;15,00;7,00;1,00;0,50;2,00;1,00;0,50;0,50;0,00;2,00;1,00;0,00;0,00;0,00;0,00
2019-12-08;68,00;15,11;3,02;12,09;3,02;2,00;16,00;7,00;2,00;0,00;2,00;2,00;1,00;1,00;0,50;1,00;0,50;0,50;0,00;0,50;0,00
2019-12-15;81,00;21,00;4,50;9,00;3,00;5,00;15,00;9,00;2,00;2,00;2,00;1,00;3,00;0,50;0,00;1,00;3,00;0,00;0,50;0,00;2,00
2019-12-22;80,00;23,70;2,96;16,30;5,93;11,00;17,00;9,00;1,00;0,50;4,00;2,00;1,00;0,50;0,50;3,00;2,00;0,50;0,00;0,00;1,00
2019-12-29;77,00;16,61;3,02;13,59;1,51;4,00;18,00;8,00;1,00;1,00;2,00;1,00;1,00;1,00;1,00;2,00;1,00;1,00;0,50;0,50;0,00
2020-01-05;87,00;21,00;3,00;13,50;4,50;5,00;18,00;9,00;1,00;1,00;2,00;4,00;2,00;1,00;1,00;1,00;1,00;1,00;0,50;0,00;1,00
2020-01-12;93,00;24,00;3,00;13,50;3,00;4,00;23,00;11,00;2,00;0,00;2,00;2,00;1,00;0,50;0,50;2,00;2,00;1,00;1,00;0,50;1,00
2020-01-19;94,00;22,38;4,48;10,44;4,48;5,00;26,00;14,00;4,00;0,50;2,00;2,00;2,00;1,00;0,00;1,00;2,00;0,50;0,00;0,50;2,00
2020-01-26;81,00;19,50;3,00;10,50;3,00;2,00;21,00;9,00;2,00;1,00;3,00;4,00;1,00;1,00;0,50;4,00;0,50;0,50;0,00;0,00;0,50
2020-02-02;100,00;16,42;2,99;11,94;7,46;3,00;21,00;12,00;2,00;0,50;6,00;4,00;2,00;1,00;0,50;1,00;2,00;0,00;0,00;0,00;1,00
2020-02-09;83,00;18,11;3,02;12,07;4,53;4,00;21,00;10,00;2,00;1,00;4,00;1,00;0,00;0,00;0,00;1,00;2,00;1,00;1,00;0,50;1,00
2020-02-16;92,00;18,10;1,51;10,56;3,02;4,00;20,00;8,00;3,00;0,50;4,00;3,00;2,00;1,00;0,50;2,00;1,00;0,00;0,50;0,00;1,00
2020-02-23;81,00;18,00;1,50;18,00;4,50;5,00;17,00;8,00;3,00;1,00;4,00;4,00;1,00;0,50;0,50;2,00;2,00;1,00;0,00;0,00;1,00
2020-03-01;62,00;14,76;1,48;8,86;4,43;3,00;19,00;10,00;2,00;0,00;4,00;1,00;1,00;0,50;0,50;0,50;2,00;0,50;0,00;0,00;0,50
2020-03-08;63,00;13,50;3,00;15,00;4,50;5,00;23,00;5,00;2,00;2,00;2,00;3,00;1,00;0,50;0,50;1,00;0,50;0,50;0,00;1,00;0,50
2020-03-15;47,00;16,68;3,03;16,68;4,55;2,00;15,00;7,00;3,00;0,50;2,00;2,00;2,00;1,00;0,50;1,00;1,00;2,00;0,00;0,50;2,00
2020-03-22;41,00;12,15;1,52;9,11;3,04;4,00;10,00;7,00;1,00;1,00;2,00;0,50;1,00;2,00;1,00;1,00;3,00;0,50;0,50;0,50;0,50
2020-03-29;36,00;15,00;0,75;13,50;3,00;3,00;10,00;7,00;2,00;0,50;1,00;2,00;1,00;0,50;0,00;2,00;0,50;1,00;0,00;0,00;1,00
2020-04-05;43,00;13,34;0,74;11,86;2,97;2,00;17,00;7,00;1,00;0,00;2,00;2,00;1,00;1,00;0,00;2,00;2,00;0,50;0,50;1,00;0,50
2020-04-12;40,00;14,81;2,96;8,89;4,44;4,00;9,00;7,00;1,00;1,00;2,00;2,00;1,00;2,00;1,00;2,00;1,00;0,50;0,00;0,00;1,00
2020-04-19;41,00;13,18;2,93;11,71;4,39;2,00;11,00;6,00;1,00;0,00;2,00;3,00;1,00;0,50;0,00;1,00;0,00;1,00;1,00;0,50;0,50
