Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;45,00;900,00;7,50;15,00;15,00;23,00;15,00;39,00;7,00;4,00;2,00;4,00;2,00
2019-01-13;45,00;930,00;7,50;15,00;30,00;22,00;19,00;50,00;8,00;5,00;3,00;8,00;1,00
2019-01-20;49,00;722,75;6,13;12,25;24,50;19,00;18,00;41,00;8,00;4,00;5,00;9,00;3,00
2019-01-27;41,00;792,67;6,83;13,67;27,33;19,00;20,00;47,00;9,00;2,00;5,00;5,00;2,00
2019-02-03;51,00;726,75;6,38;12,75;12,75;25,00;14,00;46,00;5,00;4,00;4,00;5,00;1,00
2019-02-10;50,00;700,00;6,25;12,50;12,50;22,00;22,00;40,00;9,00;7,00;4,00;10,00;3,00
2019-02-17;44,00;924,00;7,33;14,67;29,33;23,00;16,00;46,00;7,00;4,00;2,00;13,00;2,00
2019-02-24;49,00;996,33;8,17;16,33;16,33;21,00;19,00;41,00;10,00;7,00;3,00;7,00;2,00
2019-03-03;54,00;918,00;6,75;13,50;27,00;26,00;15,00;44,00;10,00;10,00;4,00;13,00;1,00
2019-03-10;62,00;1054,00;7,75;15,50;15,50;24,00;27,00;55,00;14,00;4,00;3,00;7,00;1,00
2019-03-17;59,00;944,00;7,38;14,75;29,50;25,00;19,00;41,00;6,00;6,00;4,00;11,00;0,50
2019-03-24;59,00;958,75;7,38;14,75;29,50;16,00;20,00;45,00;9,00;7,00;2,00;11,00;2,00
2019-03-31;59,00;929,25;7,38;14,75;29,50;20,00;27,00;49,00;10,00;7,00;7,00;8,00;3,00
2019-04-07;61,00;930,25;7,63;30,50;15,25;21,00;18,00;42,00;10,00;6,00;1,00;11,00;2,00
2019-04-14;61,00;1525,00;7,63;30,50;15,25;29,00;16,00;45,00;11,00;6,00;3,00;10,00;3,00
2019-04-21;55,00;838,75;6,88;13,75;13,75;22,00;20,00;40,00;9,00;5,00;2,00;14,00;2,00
2019-04-28;69,00;828,00;6,90;13,80;27,60;23,00;20,00;54,00;8,00;4,00;4,00;12,00;3,00
2019-05-05;69,00;883,20;6,90;13,80;27,60;21,00;16,00;53,00;13,00;7,00;3,00;7,00;4,00
2019-05-12;65,00;884,00;6,50;13,00;26,00;30,00;23,00;46,00;10,00;6,00;6,00;15,00;4,00
2019-05-19;78,00;897,00;13,00;26,00;39,00;28,00;24,00;48,00;11,00;4,00;2,00;12,00;4,00
2019-05-26;74,00;1021,20;7,40;29,60;29,60;29,00;21,00;54,00;9,00;12,00;5,00;9,00;1,00
2019-06-02;81,00;945,00;6,75;13,50;27,00;28,00;22,00;55,00;10,00;6,00;5,00;7,00;0,50
2019-06-09;75,00;1035,00;7,50;15,00;30,00;28,00;23,00;61,00;6,00;4,00;4,00;14,00;1,00
2019-06-16;72,00;1051,20;7,20;14,40;28,80;32,00;20,00;53,00;9,00;4,00;5,00;10,00;3,00
2019-06-23;74,00;1169,20;7,40;14,80;29,60;32,00;29,00;54,00;7,00;7,00;4,00;12,00;2,00
2019-06-30;69,00;952,20;6,90;13,80;41,40;34,00;19,00;62,00;9,00;5,00;5,00;9,00;2,00
2019-07-07;71,00;1008,20;7,10;28,40;28,40;26,00;17,00;52,00;11,00;6,00;3,00;8,00;2,00
2019-07-14;64,00;857,60;12,80;25,60;12,80;24,00;19,00;62,00;8,00;8,00;5,00;12,00;4,00
2019-07-21;67,00;897,80;6,70;13,40;13,40;23,00;23,00;70,00;8,00;9,00;5,00;10,00;2,00
2019-07-28;56,00;868,00;7,00;14,00;14,00;26,00;14,00;65,00;10,00;5,00;3,00;9,00;0,50
2019-08-04;61,00;915,00;7,63;15,25;30,50;25,00;21,00;51,00;11,00;5,00;4,00;10,00;2,00
2019-08-11;66,00;792,00;6,60;26,40;13,20;23,00;24,00;55,00;6,00;7,00;3,00;10,00;3,00
2019-08-18;64,00;832,00;6,40;12,80;25,60;21,00;17,00;57,00;11,00;3,00;4,00;9,00;2,00
2019-08-25;56,00;868,00;7,00;28,00;14,00;25,00;18,00;39,00;12,00;9,00;5,00;11,00;4,00
2019-09-01;73,00;934,40;14,60;29,20;29,20;33,00;29,00;57,00;13,00;8,00;9,00;11,00;1,00
2019-09-08;62,00;992,00;7,75;31,00;31,00;26,00;28,00;58,00;12,00;11,00;4,00;11,00;3,00
2019-09-15;74,00;976,80;7,40;29,60;29,60;27,00;22,00;55,00;11,00;8,00;12,00;9,00;3,00
2019-09-22;66,00;897,60;6,60;26,40;26,40;28,00;24,00;44,00;15,00;10,00;4,00;5,00;5,00
2019-09-29;51,00;854,25;12,75;25,50;25,50;26,00;34,00;52,00;10,00;11,00;7,00;8,00;5,00
2019-10-06;54,00;823,50;6,75;27,00;27,00;29,00;22,00;46,00;15,00;11,00;9,00;5,00;3,00
2019-10-13;47,00;955,67;7,83;31,33;31,33;23,00;24,00;45,00;13,00;15,00;8,00;8,00;3,00
2019-10-20;53,00;808,25;6,63;26,50;39,75;31,00;25,00;43,00;8,00;8,00;4,00;3,00;2,00
2019-10-27;46,00;828,00;7,67;30,67;30,67;26,00;24,00;41,00;13,00;10,00;9,00;10,00;4,00
2019-11-03;49,00;747,25;12,25;36,75;24,50;29,00;19,00;43,00;12,00;8,00;8,00;6,00;2,00
2019-11-10;45,00;810,00;15,00;30,00;15,00;19,00;18,00;44,00;8,00;10,00;8,00;5,00;3,00
2019-11-17;50,00;775,00;6,25;25,00;25,00;30,00;25,00;48,00;18,00;6,00;6,00;10,00;6,00
2019-11-24;71,00;795,20;14,20;28,40;42,60;27,00;28,00;45,00;15,00;12,00;11,00;5,00;3,00
2019-12-01;55,00;852,50;13,75;41,25;27,50;29,00;22,00;38,00;14,00;9,00;11,00;5,00;4,00
2019-12-08;68,00;816,00;13,60;40,80;27,20;29,00;28,00;40,00;14,00;10,00;10,00;6,00;3,00
2019-12-15;81,00;850,50;13,50;40,50;40,50;34,00;36,00;35,00;24,00;15,00;14,00;7,00;5,00
2019-12-22;80,00;986,67;13,33;53,33;40,00;43,00;36,00;52,00;24,00;14,00;14,00;12,00;6,00
2019-12-29;77,00;1170,40;15,40;30,80;46,20;39,00;38,00;69,00;27,00;16,00;12,00;8,00;6,00
2020-01-05;87,00;1131,00;14,50;43,50;43,50;50,00;41,00;58,00;27,00;16,00;18,00;10,00;5,00
2020-01-12;93,00;1089,43;13,29;39,86;53,14;58,00;45,00;66,00;25,00;23,00;15,00;10,00;7,00
2020-01-19;94,00;1087,71;13,43;40,29;53,71;57,00;49,00;64,00;26,00;17,00;15,00;13,00;8,00
2020-01-26;81,00;904,50;13,50;40,50;40,50;50,00;35,00;51,00;23,00;16,00;12,00;9,00;7,00
2020-02-02;100,00;1000,00;14,29;28,57;42,86;37,00;36,00;64,00;24,00;21,00;13,00;11,00;6,00
2020-02-09;83,00;982,17;13,83;27,67;41,50;48,00;34,00;55,00;23,00;16,00;15,00;12,00;6,00
2020-02-16;92,00;972,57;13,14;39,43;39,43;44,00;39,00;55,00;21,00;15,00;17,00;12,00;6,00
2020-02-23;81,00;1053,00;13,50;54,00;54,00;63,00;42,00;47,00;19,00;23,00;12,00;12,00;5,00
2020-03-01;62,00;1131,50;15,50;62,00;62,00;42,00;38,00;45,00;15,00;19,00;13,00;7,00;5,00
2020-03-08;63,00;1020,60;12,60;37,80;37,80;42,00;33,00;49,00;18,00;18,00;9,00;4,00;4,00
2020-03-15;47,00;908,67;15,67;47,00;47,00;46,00;37,00;31,00;18,00;20,00;10,00;6,00;4,00
2020-03-22;41,00;546,67;6,83;41,00;41,00;34,00;29,00;24,00;11,00;13,00;9,00;4,00;4,00
