Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;51,00;79,00;19,00;12,00;5,00;15,79;114,14;6,07;21,86
2019-01-13;49,00;79,00;16,00;11,00;4,00;13,48;111,48;7,35;20,83
2019-01-20;46,00;69,00;12,00;11,00;6,00;12,43;98,22;6,22;21,14
2019-01-27;39,00;64,00;15,00;11,00;4,00;12,19;106,03;6,09;20,72
2019-02-03;43,00;70,00;13,00;12,00;5,00;12,29;101,97;7,37;19,66
2019-02-10;39,00;74,00;11,00;10,00;4,00;15,84;101,16;6,09;19,50
2019-02-17;46,00;61,00;17,00;11,00;6,00;12,43;98,22;6,22;22,38
2019-02-24;47,00;64,00;18,00;11,00;5,00;13,61;102,66;6,18;21,03
2019-03-03;40,00;80,00;16,00;12,00;5,00;13,33;90,91;6,06;21,82
2019-03-10;41,00;67,00;14,00;12,00;5,00;14,47;90,44;4,82;20,50
2019-03-17;44,00;64,00;17,00;11,00;4,00;12,22;85,56;7,33;22,00
2019-03-24;45,00;66,00;17,00;12,00;4,00;15,81;79,05;6,08;20,68
2019-03-31;49,00;74,00;17,00;12,00;5,00;14,70;90,65;6,13;20,83
2019-04-07;47,00;72,00;15,00;13,00;5,00;13,61;90,29;8,66;19,79
2019-04-14;42,00;58,00;16,00;12,00;4,00;13,59;77,82;6,18;19,76
2019-04-21;45,00;67,00;16,00;12,00;5,00;13,38;75,41;7,30;19,46
2019-04-28;45,00;57,00;13,00;11,00;5,00;15,81;90,00;6,08;19,46
2019-05-05;43,00;67,00;12,00;11,00;5,00;13,51;78,63;7,37;19,66
2019-05-12;41,00;56,00;13,00;11,00;6,00;13,26;86,82;7,24;20,50
2019-05-19;41,00;62,00;18,00;12,00;5,00;13,67;91,94;6,21;22,36
2019-05-26;41,00;62,00;16,00;14,00;6,00;12,42;91,94;6,21;22,36
2019-06-02;45,00;64,00;15,00;13,00;6,00;15,81;86,35;7,30;21,89
2019-06-09;48,00;79,00;17,00;14,00;6,00;16,00;94,77;6,15;22,15
2019-06-16;48,00;72,00;13,00;14,00;6,00;17,23;92,31;7,38;23,38
2019-06-23;47,00;66,00;20,00;13,00;6,00;16,87;86,77;7,23;21,69
2019-06-30;54,00;92,00;16,00;16,00;6,00;15,95;99,41;7,36;22,09
2019-07-07;56,00;91,00;20,00;16,00;7,00;18,67;124,44;8,71;22,40
2019-07-14;53,00;98,00;22,00;15,00;8,00;17,26;122,02;8,63;22,19
2019-07-21;50,00;74,00;20,00;16,00;8,00;18,75;121,25;10,00;21,25
2019-07-28;57,00;87,00;19,00;14,00;9,00;19,83;111,52;7,43;22,30
2019-08-04;55,00;83,00;18,00;14,00;8,00;19,56;113,67;7,33;19,56
2019-08-11;51,00;71,00;16,00;12,00;7,00;17,00;105,64;7,29;19,43
2019-08-18;44,00;59,00;24,00;13,00;7,00;15,89;100,22;7,33;19,56
2019-08-25;39,00;71,00;13,00;12,00;6,00;15,84;96,28;7,31;18,28
2019-09-01;42,00;57,00;14,00;11,00;6,00;16,06;100,06;8,65;19,76
2019-09-08;43,00;69,00;15,00;11,00;6,00;14,74;90,91;9,83;18,43
2019-09-15;40,00;56,00;16,00;11,00;6,00;13,33;88,48;9,70;18,18
2019-09-22;36,00;70,00;15,00;10,00;5,00;14,40;86,40;9,60;18,00
2019-09-29;43,00;56,00;14,00;11,00;5,00;14,74;81,09;9,83;18,43
2019-10-06;37,00;53,00;15,00;12,00;6,00;13,57;91,27;11,10;19,73
2019-10-13;40,00;60,00;16,00;11,00;5,00;13,33;89,70;14,55;20,61
2019-10-20;40,00;58,00;14,00;10,00;6,00;13,33;82,42;30,30;29,09
2019-10-27;41,00;61,00;16,00;10,00;5,00;13,26;78,38;16,88;21,71
2019-11-03;37,00;61,00;12,00;10,00;6,00;11,94;79,97;9,55;19,10
2019-11-10;38,00;59,00;14,00;11,00;5,00;15,94;83,35;8,58;18,39
2019-11-17;41,00;61,00;13,00;11,00;5,00;13,67;73,30;9,94;18,64
2019-11-24;41,00;56,00;12,00;10,00;6,00;16,15;80,76;11,18;19,88
2019-12-01;37,00;60,00;14,00;11,00;5,00;14,80;86,33;11,10;20,97
2019-12-08;38,00;56,00;12,00;11,00;6,00;13,48;71,10;12,26;19,61
2019-12-15;38,00;58,00;16,00;12,00;5,00;13,48;79,68;13,48;20,84
2019-12-22;46,00;63,00;17,00;13,00;5,00;16,16;96,97;16,16;24,86
2019-12-29;47,00;63,00;14,00;11,00;6,00;14,84;105,13;12,37;24,74
2020-01-05;47,00;74,00;17,00;11,00;6,00;14,84;118,74;12,37;25,97
2020-01-12;48,00;79,00;16,00;11,00;4,00;14,77;120,62;11,08;25,85
