Campings;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;12,00;22,00;11,00;8,00;5,00;4,80;81,60;7,20;7,20
2019-01-13;13,00;19,00;10,00;7,00;6,00;4,33;69,33;6,50;6,50
2019-01-20;13,00;20,00;12,00;8,00;6,00;4,33;56,33;6,50;6,50
2019-01-27;19,00;19,00;16,00;9,00;8,00;10,56;50,67;6,33;6,33
2019-02-03;21,00;17,00;14,00;9,00;11,00;8,40;44,10;6,30;6,30
2019-02-10;22,00;22,00;17,00;10,00;11,00;11,00;46,20;6,60;6,60
2019-02-17;24,00;21,00;19,00;10,00;11,00;13,09;48,00;6,55;6,55
2019-02-24;24,00;20,00;18,00;10,00;13,00;13,09;45,82;6,55;6,55
2019-03-03;25,00;20,00;18,00;11,00;12,00;11,36;45,45;6,82;9,09
2019-03-10;24,00;15,00;18,00;11,00;15,00;13,09;45,82;6,55;8,73
2019-03-17;24,00;21,00;23,00;11,00;16,00;13,09;39,27;6,55;8,73
2019-03-24;28,00;25,00;27,00;10,00;16,00;15,08;47,38;6,46;10,77
2019-03-31;21,00;30,00;16,00;9,00;13,00;8,40;56,70;8,40;10,50
2019-04-07;19,00;28,00;21,00;10,00;14,00;6,33;65,44;10,56;10,56
2019-04-14;21,00;33,00;28,00;13,00;19,00;8,40;84,00;12,60;10,50
2019-04-21;21,00;25,00;21,00;11,00;14,00;11,67;95,67;11,67;11,67
2019-04-28;20,00;29,00;16,00;10,00;15,00;8,89;82,22;8,89;11,11
2019-05-05;20,00;22,00;18,00;10,00;13,00;8,89;77,78;11,11;13,33
2019-05-12;19,00;27,00;16,00;10,00;17,00;6,33;82,33;10,56;12,67
2019-05-19;19,00;23,00;18,00;11,00;16,00;10,56;84,44;12,67;16,89
2019-05-26;29,00;41,00;37,00;14,00;18,00;11,15;129,38;15,62;17,85
2019-06-02;28,00;40,00;34,00;16,00;23,00;15,08;107,69;12,92;17,23
2019-06-09;25,00;35,00;28,00;17,00;25,00;16,67;93,75;10,42;16,67
2019-06-16;27,00;40,00;27,00;16,00;28,00;20,25;114,75;11,25;20,25
2019-06-23;34,00;59,00;27,00;16,00;31,00;20,40;120,13;15,87;20,40
2019-06-30;35,00;62,00;36,00;16,00;34,00;21,88;137,81;15,31;19,69
2019-07-07;41,00;67,00;50,00;17,00;35,00;21,58;153,21;17,26;19,42
2019-07-14;45,00;75,00;57,00;19,00;42,00;21,43;190,71;17,14;19,29
2019-07-21;49,00;75,00;47,00;19,00;39,00;22,27;196,00;17,82;20,05
2019-07-28;54,00;66,00;56,00;18,00;43,00;23,76;177,12;17,28;17,28
2019-08-04;55,00;59,00;34,00;18,00;46,00;30,80;165,00;17,60;17,60
2019-08-11;46,00;49,00;29,00;18,00;47,00;28,48;122,67;15,33;15,33
2019-08-18;42,00;51,00;30,00;16,00;34,00;19,89;128,21;17,68;13,26
2019-08-25;24,00;40,00;22,00;13,00;25,00;13,09;91,64;13,09;15,27
2019-09-01;18,00;21,00;20,00;11,00;18,00;11,25;63,00;9,00;11,25
2019-09-08;16,00;18,00;14,00;11,00;11,00;9,14;57,14;6,86;9,14
2019-09-15;13,00;21,00;19,00;9,00;9,00;6,50;52,00;8,67;8,67
2019-09-22;9,00;11,00;15,00;8,00;7,00;4,50;38,25;6,75;9,00
2019-09-29;6,00;11,00;15,00;8,00;7,00;4,00;30,00;4,00;8,00
2019-10-06;6,00;12,00;10,00;6,00;9,00;2,00;28,00;4,00;8,00
2019-10-13;6,00;14,00;7,00;7,00;5,00;2,00;34,00;4,00;6,00
2019-10-20;6,00;14,00;10,00;5,00;5,00;2,00;34,00;4,00;6,00
2019-10-27;6,00;13,00;5,00;5,00;8,00;2,00;28,00;4,00;4,00
2019-11-03;5,00;11,00;7,00;5,00;6,00;2,50;37,50;5,00;5,00
2019-11-10;5,00;14,00;6,00;4,00;4,00;2,50;35,00;2,50;5,00
2019-11-17;5,00;11,00;5,00;4,00;4,00;2,50;35,00;2,50;5,00
2019-11-24;6,00;8,00;4,00;4,00;5,00;2,00;24,00;2,00;4,00
2019-12-01;5,00;12,00;5,00;4,00;7,00;2,50;27,50;2,50;2,50
2019-12-08;4,00;9,00;6,00;4,00;4,00;2,00;34,00;2,00;2,00
2019-12-15;4,00;10,00;5,00;4,00;4,00;2,00;26,00;2,00;2,00
2019-12-22;6,00;13,00;8,00;7,00;5,00;4,00;42,00;4,00;4,00
2019-12-29;9,00;18,00;9,00;8,00;7,00;4,50;65,25;9,00;6,75
2020-01-05;12,00;22,00;10,00;8,00;6,00;4,00;62,00;6,00;6,00
2020-01-12;15,00;20,00;14,00;8,00;7,00;4,29;75,00;8,57;6,43
2020-01-19;14,00;22,00;10,00;8,00;9,00;7,00;79,33;7,00;7,00
2020-01-26;15,00;18,00;12,00;8,00;8,00;4,29;57,86;6,43;6,43
2020-02-02;14,00;19,00;9,00;7,00;7,00;7,00;58,33;7,00;7,00
2020-02-09;13,00;15,00;10,00;7,00;9,00;4,33;54,17;6,50;6,50
2020-02-16;17,00;19,00;11,00;7,00;11,00;6,38;53,13;6,38;6,38
