Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;25,00;46,00;26,00;14,00;6,00;91,67;37,50;54,17;12,50
2019-01-13;29,00;46,00;28,00;14,00;6,00;95,29;41,43;45,57;12,43
2019-01-20;29,00;52,00;24,00;11,00;8,00;95,29;37,29;49,71;12,43
2019-01-27;32,00;42,00;25,00;10,00;7,00;84,00;32,00;44,00;12,00
2019-02-03;34,00;46,00;24,00;10,00;8,00;89,25;34,00;51,00;12,75
2019-02-10;35,00;50,00;38,00;10,00;8,00;100,63;48,13;52,50;13,13
2019-02-17;38,00;53,00;23,00;9,00;8,00;92,89;38,00;50,67;12,67
2019-02-24;44,00;53,00;33,00;8,00;8,00;110,00;44,00;57,20;13,20
2019-03-03;41,00;50,00;33,00;10,00;7,00;106,60;36,90;49,20;12,30
2019-03-10;37,00;48,00;30,00;11,00;8,00;106,89;32,89;49,33;12,33
2019-03-17;38,00;45,00;26,00;10,00;8,00;118,22;33,78;50,67;12,67
2019-03-24;39,00;46,00;27,00;10,00;8,00;125,67;39,00;52,00;13,00
2019-03-31;38,00;51,00;37,00;11,00;7,00;139,33;50,67;54,89;12,67
2019-04-07;36,00;51,00;42,00;12,00;9,00;136,00;44,00;60,00;12,00
2019-04-14;37,00;46,00;39,00;13,00;9,00;139,78;49,33;57,56;8,22
2019-04-21;35,00;49,00;35,00;12,00;8,00;175,00;39,38;61,25;13,13
2019-04-28;35,00;49,00;32,00;12,00;7,00;144,38;56,88;61,25;13,13
2019-05-05;33,00;44,00;36,00;12,00;6,00;136,13;41,25;53,63;12,38
2019-05-12;32,00;46,00;32,00;12,00;9,00;132,57;50,29;64,00;13,71
2019-05-19;36,00;51,00;34,00;12,00;8,00;139,50;54,00;72,00;13,50
2019-05-26;42,00;61,00;42,00;14,00;9,00;138,60;54,60;63,00;12,60
2019-06-02;39,00;62,00;39,00;12,00;10,00;182,00;47,67;65,00;13,00
2019-06-09;39,00;66,00;44,00;14,00;9,00;199,33;43,33;65,00;13,00
2019-06-16;39,00;72,00;37,00;14,00;10,00;212,33;52,00;65,00;17,33
2019-06-23;40,00;69,00;33,00;13,00;10,00;208,00;44,00;64,00;16,00
2019-06-30;41,00;93,00;42,00;12,00;10,00;221,40;41,00;65,60;16,40
2019-07-07;48,00;93,00;37,00;14,00;12,00;226,91;61,09;69,82;17,45
2019-07-14;50,00;100,00;48,00;16,00;10,00;229,17;62,50;66,67;16,67
2019-07-21;54,00;79,00;43,00;16,00;11,00;249,23;62,31;66,46;16,62
2019-07-28;55,00;76,00;44,00;15,00;10,00;258,08;63,46;71,92;12,69
2019-08-04;63,00;80,00;37,00;14,00;13,00;323,40;75,60;71,40;16,80
2019-08-11;64,00;65,00;36,00;15,00;10,00;345,60;72,53;68,27;12,80
2019-08-18;53,00;70,00;37,00;14,00;11,00;228,31;65,23;73,38;12,23
2019-08-25;43,00;57,00;32,00;14,00;9,00;189,20;51,60;68,80;12,90
2019-09-01;33,00;50,00;36,00;13,00;9,00;152,63;49,50;57,75;12,38
2019-09-08;35,00;45,00;36,00;12,00;8,00;157,50;48,13;65,63;13,13
2019-09-15;30,00;48,00;33,00;13,00;8,00;145,71;42,86;64,29;12,86
2019-09-22;29,00;45,00;32,00;11,00;8,00;124,29;37,29;53,86;12,43
2019-09-29;29,00;45,00;32,00;12,00;7,00;124,29;33,14;53,86;12,43
2019-10-06;27,00;36,00;29,00;10,00;8,00;130,50;45,00;58,50;13,50
2019-10-13;26,00;36,00;23,00;9,00;8,00;125,67;39,00;47,67;13,00
2019-10-20;26,00;33,00;28,00;11,00;6,00;121,33;34,67;47,67;13,00
2019-10-27;24,00;35,00;13,00;8,00;6,00;104,00;28,00;40,00;12,00
2019-11-03;22,00;34,00;20,00;8,00;6,00;101,20;30,80;44,00;13,20
2019-11-10;20,00;33,00;20,00;9,00;5,00;96,00;24,00;32,00;8,00
2019-11-17;21,00;33,00;16,00;7,00;7,00;100,80;25,20;33,60;8,40
2019-11-24;18,00;33,00;16,00;9,00;8,00;94,50;27,00;36,00;9,00
2019-12-01;19,00;26,00;17,00;9,00;7,00;83,60;22,80;30,40;11,40
2019-12-08;19,00;27,00;15,00;8,00;6,00;95,00;28,50;33,25;14,25
2019-12-15;16,00;29,00;16,00;8,00;5,00;80,00;24,00;28,00;12,00
2019-12-22;45,00;36,00;28,00;10,00;6,00;110,45;28,64;40,91;20,45
2019-12-29;27,00;39,00;26,00;11,00;7,00;130,50;36,00;49,50;18,00
2020-01-05;24,00;41,00;27,00;12,00;7,00;84,00;32,00;48,00;16,00
2020-01-12;25,00;45,00;27,00;12,00;8,00;95,83;41,67;50,00;16,67
2020-01-19;26,00;43,00;25,00;11,00;7,00;99,67;39,00;47,67;17,33
2020-01-26;28,00;41,00;25,00;10,00;7,00;92,00;32,00;44,00;12,00
2020-02-02;34,00;44,00;28,00;11,00;7,00;97,75;34,00;51,00;17,00
2020-02-09;30,00;41,00;24,00;11,00;7,00;111,43;34,29;51,43;17,14
2020-02-16;32,00;45,00;25,00;12,00;6,00;96,00;36,00;44,00;16,00
2020-02-23;26,00;44,00;22,00;8,00;7,00;56,33;30,33;47,67;13,00
2020-03-01;24,00;31,00;15,00;8,00;6,00;56,00;24,00;44,00;12,00
2020-03-08;19,00;28,00;13,00;6,00;4,00;19,00;19,00;34,20;11,40
2020-03-15;8,00;15,00;6,00;3,00;2,00;16,00;8,00;20,00;8,00
2020-03-22;8,00;11,00;4,00;2,00;2,00;12,00;8,00;16,00;8,00
2020-03-29;10,00;13,00;6,00;2,00;1,00;20,00;5,00;20,00;5,00
2020-04-05;9,00;10,00;5,00;2,00;2,00;13,50;9,00;22,50;9,00
2020-04-12;10,00;17,00;7,00;2,00;2,00;20,00;20,00;20,00;10,00
2020-04-19;11,00;13,00;9,00;2,00;2,00;14,67;14,67;14,67;7,33
2020-04-26;11,00;16,00;9,00;2,00;2,00;18,33;22,00;14,67;7,33
2020-05-03;13,00;13,00;14,00;3,00;2,00;21,67;26,00;21,67;8,67
2020-05-10;18,00;15,00;16,00;3,00;1,00;31,50;40,50;22,50;13,50
2020-05-17;25,00;23,00;26,00;5,00;2,00;45,83;41,67;20,83;12,50
2020-05-24;27,00;26,00;27,00;5,00;3,00;67,50;45,00;22,50;13,50
2020-05-31;35,00;44,00;28,00;7,00;4,00;100,63;52,50;26,25;13,13
2020-06-07;40,00;55,00;32,00;8,00;4,00;124,44;57,78;26,67;17,78
2020-06-14;42,00;77,00;24,00;8,00;4,00;151,20;58,80;29,40;16,80
2020-06-21;46,00;74,00;36,00;8,00;5,00;184,00;62,73;41,82;16,73
2020-06-28;52,00;85,00;32,00;10,00;5,00;212,33;73,67;47,67;17,33
2020-07-05;57,00;90,00;37,00;10,00;6,00;245,54;78,92;57,00;17,54
2020-07-12;54,00;100,00;45,00;11,00;6,00;240,92;78,92;58,15;16,62
2020-07-19;54,00;83,00;47,00;11,00;5,00;274,15;78,92;70,62;16,62
2020-07-26;61,00;71,00;42,00;11,00;7,00;305,00;82,79;78,43;17,43
2020-08-02;70,00;84,00;41,00;10,00;5,00;358,24;70,00;78,24;16,47
2020-08-09;62,00;69,00;28,00;10,00;5,00;413,33;49,60;66,13;16,53
2020-08-16;56,00;70,00;33,00;9,00;4,00;310,15;56,00;68,92;17,23
2020-08-23;40,00;60,00;29,00;9,00;4,00;176,00;52,00;64,00;16,00
2020-08-30;36,00;60,00;32,00;9,00;4,00;144,00;52,00;56,00;16,00
2020-09-06;36,00;60,00;29,00;9,00;4,00;144,00;81,00;58,50;18,00
2020-09-13;32,00;49,00;23,00;8,00;3,00;123,43;64,00;59,43;18,29
2020-09-20;26,00;33,00;24,00;7,00;3,00;91,00;39,00;43,33;17,33
2020-09-27;20,00;33,00;16,00;7,00;2,00;72,00;32,00;36,00;16,00
2020-10-04;21,00;29,00;19,00;6,00;3,00;75,60;37,80;33,60;16,80
2020-10-11;21,00;24,00;12,00;4,00;3,00;58,80;25,20;33,60;16,80
2020-10-18;21,00;26,00;12,00;4,00;3,00;37,80;16,80;29,40;16,80
2020-10-25;12,00;19,00;10,00;3,00;2,00;32,00;16,00;24,00;12,00
2020-11-01;8,00;20,00;7,00;2,00;1,00;24,00;12,00;20,00;12,00
2020-11-08;10,00;27,00;9,00;2,00;2,00;30,00;20,00;25,00;15,00
2020-11-15;9,00;17,00;8,00;3,00;2,00;27,00;18,00;22,50;13,50
2020-11-22;10,00;21,00;8,00;2,00;2,00;35,00;20,00;20,00;15,00
2020-11-29;11,00;18,00;9,00;2,00;2,00;22,00;11,00;14,67;11,00
2020-12-06;11,00;18,00;8,00;2,00;2,00;25,67;14,67;18,33;11,00
2020-12-13;14,00;20,00;8,00;2,00;3,00;32,67;14,00;23,33;14,00
2020-12-20;12,00;20,00;11,00;3,00;1,00;20,00;12,00;16,00;12,00
2020-12-27;16,00;24,00;12,00;3,00;2,00;28,00;20,00;16,00;12,00
2021-01-03;13,00;25,00;9,00;3,00;2,00;30,33;21,67;17,33;13,00
2021-01-10;14,00;29,00;12,00;2,00;2,00;37,33;18,67;18,67;14,00
2021-01-17;15,00;26,00;8,00;2,00;1,00;30,00;15,00;18,75;11,25
2021-01-24;13,00;26,00;12,00;2,00;2,00;34,67;17,33;21,67;13,00
2021-01-31;19,00;30,00;10,00;3,00;2,00;47,50;23,75;19,00;14,25
2021-02-07;19,00;25,00;13,00;2,00;2,00;45,60;19,00;15,20;11,40
2021-02-14;23,00;34,00;16,00;3,00;2,00;46,00;36,80;23,00;13,80
2021-02-21;23,00;29,00;12,00;3,00;3,00;46,00;36,80;27,60;13,80
2021-02-28;20,00;27,00;14,00;3,00;2,00;36,00;28,00;24,00;12,00
2021-03-07;23,00;41,00;13,00;3,00;2,00;36,80;36,80;32,20;18,40
2021-03-14;21,00;35,00;13,00;2,00;3,00;37,80;29,40;29,40;16,80
2021-03-21;18,00;25,00;17,00;2,00;3,00;36,00;49,50;31,50;18,00
2021-03-28;16,00;29,00;14,00;2,00;3,00;36,00;36,00;28,00;20,00
2021-04-04;13,00;36,00;18,00;3,00;2,00;47,67;43,33;34,67;21,67
2021-04-11;17,00;44,00;25,00;4,00;3,00;55,25;51,00;34,00;21,25
2021-04-18;21,00;30,00;18,00;3,00;3,00;63,00;54,60;33,60;25,20
2021-04-25;27,00;43,00;18,00;4,00;3,00;81,00;58,50;40,50;22,50
2021-05-02;39,00;46,00;21,00;4,00;4,00;86,67;56,33;43,33;26,00
2021-05-09;38,00;50,00;25,00;5,00;4,00;105,56;50,67;46,44;25,33
2021-05-16;39,00;48,00;21,00;7,00;3,00;134,33;56,33;52,00;21,67
2021-05-23;38,00;53,00;28,00;8,00;5,00;143,56;54,89;54,89;21,11
2021-05-30;33,00;47,00;32,00;7,00;5,00;165,00;57,75;53,63;20,63
2021-06-06;43,00;58,00;38,00;10,00;5,00;172,00;55,90;60,20;21,50
2021-06-13;39,00;65,00;34,00;8,00;5,00;203,67;56,33;52,00;21,67
2021-06-20;39,00;64,00;27,00;9,00;6,00;221,00;60,67;60,67;21,67
2021-06-27;40,00;68,00;33,00;10,00;5,00;235,56;57,78;62,22;22,22
2021-07-04;44,00;90,00;42,00;12,00;6,00;246,40;61,60;61,60;22,00
2021-07-11;45,00;86,00;42,00;12,00;7,00;212,73;73,64;65,45;20,45
2021-07-18;47,00;77,00;48,00;11,00;5,00;260,64;85,45;68,36;21,36
2021-07-25;52,00;77,00;39,00;13,00;7,00;264,33;82,33;78,00;21,67
2021-08-01;56,00;78,00;37,00;13,00;8,00;310,15;90,46;77,54;21,54
2021-08-08;62,00;73,00;37,00;13,00;8,00;400,93;99,20;74,40;20,67
2021-08-15;54,00;68,00;33,00;12,00;7,00;340,62;95,54;66,46;20,77
2021-08-22;39,00;63,00;30,00;12,00;7,00;225,33;78,00;73,67;17,33
2021-08-29;33,00;59,00;23,00;10,00;6,00;173,25;66,00;57,75;20,63
2021-09-05;34,00;50,00;29,00;10,00;6,00;165,75;59,50;55,25;21,25
2021-09-12;31,00;46,00;23,00;9,00;6,00;141,71;53,14;57,57;22,14
2021-09-19;27,00;42,00;23,00;9,00;5,00;130,50;49,50;54,00;18,00
2021-09-26;24,00;34,00;22,00;8,00;5,00;112,00;40,00;36,00;20,00
2021-10-03;26,00;39,00;22,00;9,00;6,00;108,33;43,33;43,33;17,33
2021-10-10;24,00;42,00;23,00;10,00;6,00;112,00;32,00;36,00;20,00
2021-10-17;26,00;33,00;23,00;9,00;6,00;117,00;34,67;39,00;17,33
2021-10-24;24,00;34,00;17,00;7,00;4,00;104,00;28,00;32,00;16,00
2021-10-31;22,00;34,00;15,00;7,00;4,00;92,40;26,40;30,80;17,60
2021-11-07;21,00;33,00;15,00;7,00;5,00;88,20;29,40;29,40;12,60
2021-11-14;18,00;28,00;16,00;5,00;5,00;90,00;27,00;27,00;13,50
2021-11-21;13,00;22,00;9,00;4,00;4,00;73,67;26,00;21,67;13,00
2021-11-28;14,00;22,00;10,00;4,00;4,00;74,67;23,33;23,33;14,00
2021-12-05;15,00;28,00;8,00;4,00;4,00;90,00;25,00;20,00;15,00
2021-12-12;13,00;24,00;11,00;5,00;3,00;69,33;17,33;17,33;13,00
2021-12-19;14,00;20,00;14,00;5,00;3,00;65,33;18,67;18,67;14,00
2021-12-26;17,00;32,00;15,00;7,00;4,00;85,00;25,50;25,50;12,75
2022-01-02;17,00;37,00;11,00;8,00;5,00;72,25;29,75;29,75;12,75
2022-01-09;19,00;32,00;18,00;8,00;5,00;61,75;33,25;38,00;14,25
2022-01-16;20,00;41,00;16,00;7,00;6,00;64,00;32,00;36,00;12,00
2022-01-23;22,00;38,00;23,00;8,00;6,00;74,80;35,20;39,60;13,20
2022-01-30;23,00;41,00;21,00;9,00;4,00;69,00;34,50;34,50;11,50
2022-02-06;26,00;47,00;20,00;9,00;5,00;95,33;39,00;43,33;13,00
2022-02-13;25,00;40,00;25,00;10,00;6,00;100,00;37,50;37,50;12,50
2022-02-20;24,00;43,00;27,00;8,00;6,00;88,00;40,00;32,00;12,00
2022-02-27;24,00;36,00;25,00;9,00;7,00;80,00;32,00;32,00;12,00
