Croisiere;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;59,00;19,00;78,00;74,00;3,00;99,74;5,62;21,07;15,45
2019-01-13;56,00;23,00;62,00;73,00;3,00;89,60;2,80;19,60;15,40
2019-01-20;47,00;15,00;69,00;64,00;4,00;78,79;4,15;16,59;12,44
2019-01-27;31,00;11,00;54,00;65,00;4,00;76,09;2,82;14,09;11,27
2019-02-03;24,00;9,00;38,00;49,00;2,00;73,41;4,24;14,12;11,29
2019-02-10;21,00;10,00;36,00;59,00;3,00;68,60;1,40;14,00;12,60
2019-02-17;24,00;12,00;41,00;53,00;3,00;72,00;2,82;22,59;14,12
2019-02-24;33,00;9,00;44,00;51,00;2,00;78,91;2,87;22,96;11,48
2019-03-03;25,00;8,00;41,00;53,00;2,00;72,22;4,17;18,06;22,22
2019-03-10;28,00;5,00;42,00;47,00;4,00;63,00;2,80;14,00;12,60
2019-03-17;27,00;11,00;35,00;52,00;4,00;78,16;5,68;24,16;15,63
2019-03-24;30,00;16,00;34,00;48,00;4,00;108,57;5,71;35,71;41,43
2019-03-31;36,00;13,00;33,00;39,00;3,00;61,92;4,32;12,96;11,52
2019-04-07;39,00;16,00;51,00;40,00;2,00;61,29;2,79;13,93;9,75
2019-04-14;40,00;16,00;56,00;39,00;3,00;57,93;2,76;15,17;9,66
2019-04-21;42,00;14,00;47,00;44,00;3,00;78,40;2,80;16,80;9,80
2019-04-28;39,00;17,00;57,00;48,00;4,00;78,00;2,79;15,32;16,71
2019-05-05;39,00;12,00;48,00;50,00;4,00;72,43;4,18;15,32;11,14
2019-05-12;35,00;12,00;41,00;46,00;2,00;67,20;2,80;19,60;11,20
2019-05-19;35,00;15,00;44,00;46,00;3,00;68,60;2,80;19,60;9,80
2019-05-26;36,00;13,00;52,00;46,00;3,00;70,56;4,32;20,16;10,08
2019-06-02;50,00;24,00;44,00;46,00;5,00;142,86;5,71;54,29;27,14
2019-06-09;41,00;15,00;48,00;54,00;5,00;87,66;7,07;24,03;11,31
2019-06-16;41,00;16,00;52,00;54,00;4,00;98,97;4,24;21,21;11,31
2019-06-23;38,00;22,00;39,00;47,00;3,00;98,52;2,81;19,70;12,67
2019-06-30;38,00;12,00;45,00;56,00;3,00;101,33;5,63;18,30;11,26
2019-07-07;56,00;27,00;57,00;66,00;5,00;121,80;7,00;33,60;35,00
2019-07-14;55,00;17,00;54,00;57,00;5,00;104,36;5,64;21,15;15,51
2019-07-21;44,00;21,00;47,00;57,00;6,00;113,55;7,10;24,13;19,87
2019-07-28;51,00;23,00;55,00;55,00;5,00;119,00;4,25;31,17;14,17
2019-08-04;54,00;18,00;56,00;62,00;6,00;125,05;5,68;22,74;11,37
2019-08-11;50,00;16,00;59,00;68,00;6,00;130,00;4,29;21,43;11,43
2019-08-18;46,00;22,00;50,00;58,00;5,00;119,31;4,31;23,00;11,50
2019-08-25;49,00;14,00;47,00;62,00;4,00;105,00;5,60;23,80;11,20
2019-09-01;40,00;17,00;38,00;58,00;5,00;92,86;4,29;22,86;12,86
2019-09-08;36,00;18,00;60,00;55,00;4,00;86,40;4,32;21,60;10,08
2019-09-15;38,00;13,00;48,00;57,00;4,00;78,81;2,81;19,70;9,85
2019-09-22;37,00;16,00;46,00;56,00;5,00;72,58;2,85;21,35;9,96
2019-09-29;34,00;12,00;55,00;53,00;6,00;70,83;4,25;18,42;9,92
2019-10-06;33,00;12,00;37,00;54,00;4,00;67,43;4,30;18,65;11,48
2019-10-13;34,00;15,00;44,00;51,00;4,00;66,58;4,25;14,17;9,92
2019-10-20;31,00;12,00;46,00;54,00;4,00;59,18;2,82;16,91;9,86
2019-10-27;35,00;14,00;38,00;52,00;4,00;53,20;4,20;14,00;11,20
2019-11-03;33,00;14,00;47,00;50,00;4,00;54,52;4,30;14,35;10,04
2019-11-10;31,00;13,00;36,00;50,00;4,00;52,14;2,82;12,68;8,45
2019-11-17;29,00;17,00;36,00;47,00;4,00;52,20;2,90;13,05;11,60
2019-11-24;28,00;11,00;27,00;41,00;4,00;44,80;4,20;11,20;11,20
2019-12-01;25,00;12,00;40,00;44,00;3,00;41,67;4,17;9,72;9,72
2019-12-08;27,00;10,00;35,00;39,00;2,00;41,21;4,26;14,21;11,37
2019-12-15;27,00;10,00;30,00;44,00;3,00;44,05;4,26;19,89;21,32
2019-12-22;35,00;12,00;31,00;73,00;4,00;64,40;4,20;21,00;18,20
2019-12-29;50,00;14,00;57,00;88,00;4,00;78,57;5,71;21,43;15,71
2020-01-05;60,00;15,00;55,00;81,00;3,00;75,71;2,86;20,00;17,14
2020-01-12;45,00;16,00;49,00;74,00;3,00;75,94;2,81;19,69;16,88
2020-01-19;42,00;17,00;49,00;67,00;3,00;72,80;4,20;18,20;18,20
2020-01-26;47,00;16,00;48,00;63,00;3,00;84,03;2,85;25,64;24,21
2020-02-02;41,00;13,00;46,00;56,00;4,00;59,38;5,66;31,10;29,69
2020-02-09;39,00;17,00;39,00;57,00;3,00;54,89;5,78;28,89;30,33
2020-02-16;38,00;18,00;45,00;49,00;3,00;50,67;4,22;26,74;23,93
2020-02-23;35,00;15,00;34,00;48,00;3,00;47,60;4,20;29,40;23,80
2020-03-01;28,00;11,00;43,00;56,00;3,00;43,40;4,20;30,80;36,40
2020-03-08;32,00;9,00;43,00;100,00;5,00;22,26;4,17;37,57;57,04
2020-03-15;15,00;5,00;24,00;39,00;2,00;21,00;3,00;28,50;21,00
2020-03-22;16,00;3,00;19,00;22,00;1,00;17,45;2,91;16,00;20,36
2020-03-29;14,00;8,00;12,00;27,00;1,00;16,80;4,20;15,40;28,00
2020-04-05;11,00;5,00;19,00;24,00;1,00;15,13;1,38;11,00;12,38
2020-04-12;12,00;4,00;18,00;26,00;1,00;16,00;1,33;10,67;8,00
2020-04-19;16,00;6,00;14,00;23,00;1,00;18,67;1,33;9,33;6,67
2020-04-26;10,00;6,00;16,00;27,00;0,50;15,71;1,43;8,57;7,14
2020-05-03;9,00;4,00;13,00;25,00;1,00;12,86;1,29;10,29;7,71
2020-05-10;11,00;6,00;11,00;25,00;1,00;18,86;3,14;9,43;7,86
2020-05-17;13,00;5,00;11,00;31,00;2,00;14,30;2,60;9,10;6,50
2020-05-24;13,00;11,00;16,00;30,00;1,00;20,22;4,33;10,11;5,78
2020-05-31;19,00;7,00;21,00;30,00;1,00;23,38;2,92;11,69;5,85
2020-06-07;18,00;9,00;16,00;33,00;1,00;22,15;1,38;11,08;6,92
2020-06-14;42,00;9,00;22,00;31,00;1,00;28,00;1,40;14,00;7,00
2020-06-21;39,00;10,00;24,00;28,00;1,00;27,86;1,39;12,54;5,57
2020-06-28;22,00;8,00;17,00;33,00;1,00;33,73;1,47;14,67;5,87
2020-07-05;25,00;8,00;26,00;37,00;1,00;29,17;1,39;15,28;5,56
2020-07-12;29,00;5,00;15,00;27,00;2,00;30,38;6,90;12,43;5,52
2020-07-19;32,00;13,00;29,00;29,00;1,00;32,00;4,17;11,13;5,57
2020-07-26;33,00;5,00;27,00;25,00;1,00;37,30;2,87;11,48;5,74
2020-08-02;32,00;8,00;30,00;33,00;1,00;38,96;5,57;12,52;6,96
2020-08-09;30,00;8,00;19,00;25,00;1,00;42,86;1,43;12,86;7,14
2020-08-16;33,00;9,00;18,00;21,00;1,00;41,25;2,75;13,75;5,50
2020-08-23;30,00;13,00;14,00;25,00;2,00;31,43;2,86;11,43;5,71
2020-08-30;20,00;5,00;15,00;17,00;1,00;27,14;4,29;11,43;5,71
2020-09-06;18,00;5,00;12,00;18,00;0,50;26,31;1,38;11,08;5,54
2020-09-13;16,00;5,00;10,00;19,00;1,00;21,33;2,67;10,67;5,33
2020-09-20;14,00;5,00;17,00;19,00;1,00;21,00;1,40;8,40;5,60
2020-09-27;14,00;3,00;15,00;19,00;1,00;22,40;1,40;9,80;5,60
2020-10-04;13,00;5,00;11,00;17,00;1,00;20,22;1,44;11,56;5,78
