Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2019-01-06;70,00;12,00;17,00;28,00;45,00;14,00;39,00;46,00;1,00
2019-01-13;70,00;15,00;17,00;28,00;47,00;19,00;38,00;39,00;1,00
2019-01-20;54,00;12,00;15,00;26,00;40,00;17,00;33,00;34,00;1,00
2019-01-27;47,00;10,00;13,00;24,00;30,00;13,00;26,00;29,00;1,00
2019-02-03;44,00;13,00;11,00;24,00;31,00;10,00;24,00;31,00;1,00
2019-02-10;46,00;12,00;11,00;30,00;35,00;10,00;26,00;31,00;1,00
2019-02-17;46,00;11,00;11,00;31,00;37,00;10,00;25,00;31,00;1,00
2019-02-24;44,00;15,00;11,00;28,00;33,00;11,00;24,00;27,00;1,00
2019-03-03;60,00;12,00;12,00;31,00;36,00;10,00;34,00;32,00;1,00
2019-03-10;49,00;14,00;13,00;28,00;36,00;16,00;34,00;30,00;1,00
2019-03-17;63,00;10,00;13,00;31,00;47,00;17,00;35,00;61,00;1,00
2019-03-24;59,00;15,00;14,00;33,00;47,00;16,00;33,00;40,00;2,00
2019-03-31;64,00;16,00;14,00;27,00;43,00;14,00;39,00;28,00;1,00
2019-04-07;64,00;20,00;16,00;27,00;50,00;14,00;31,00;31,00;1,00
2019-04-14;52,00;25,00;17,00;28,00;52,00;14,00;35,00;26,00;1,00
2019-04-21;49,00;22,00;16,00;27,00;51,00;16,00;36,00;25,00;1,00
2019-04-28;49,00;17,00;17,00;22,00;47,00;14,00;35,00;25,00;1,00
2019-05-05;47,00;16,00;19,00;25,00;38,00;12,00;27,00;27,00;1,00
2019-05-12;47,00;15,00;18,00;26,00;36,00;12,00;27,00;27,00;1,00
2019-05-19;46,00;15,00;19,00;26,00;38,00;12,00;33,00;28,00;1,00
2019-05-26;50,00;18,00;17,00;25,00;47,00;10,00;31,00;32,00;1,00
2019-06-02;52,00;13,00;15,00;28,00;39,00;11,00;29,00;27,00;1,00
2019-06-09;57,00;13,00;19,00;26,00;43,00;14,00;29,00;29,00;1,00
2019-06-16;49,00;14,00;16,00;27,00;42,00;14,00;26,00;30,00;1,00
