Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;41,00;31,00;24,00;18,00;35,00;9,00;28,00;31,00;8,00
2019-01-13;41,00;32,00;24,00;17,00;41,00;10,00;33,00;25,00;3,00
2019-01-20;43,00;46,00;24,00;17,00;45,00;10,00;23,00;26,00;3,00
2019-01-27;34,00;22,00;22,00;24,00;42,00;11,00;33,00;22,00;2,00
2019-02-03;40,00;32,00;23,00;18,00;38,00;7,00;23,00;24,00;2,00
2019-02-10;45,00;36,00;19,00;22,00;39,00;13,00;27,00;21,00;2,00
2019-02-17;43,00;18,00;18,00;19,00;45,00;15,00;13,00;21,00;2,00
2019-02-24;41,00;26,00;23,00;20,00;56,00;13,00;19,00;21,00;4,00
2019-03-03;46,00;20,00;24,00;15,00;55,00;7,00;16,00;16,00;3,00
2019-03-10;41,00;13,00;13,00;21,00;50,00;10,00;17,00;21,00;2,00
2019-03-17;43,00;22,00;27,00;17,00;53,00;11,00;18,00;18,00;2,00
2019-03-24;47,00;30,00;17,00;15,00;53,00;11,00;19,00;20,00;3,00
2019-03-31;48,00;33,00;21,00;14,00;53,00;12,00;16,00;22,00;2,00
2019-04-07;48,00;26,00;20,00;17,00;59,00;12,00;16,00;24,00;3,00
2019-04-14;47,00;28,00;25,00;9,00;51,00;8,00;18,00;23,00;3,00
2019-04-21;39,00;20,00;13,00;14,00;44,00;14,00;20,00;19,00;3,00
2019-04-28;42,00;35,00;13,00;13,00;48,00;12,00;25,00;22,00;3,00
2019-05-05;39,00;20,00;20,00;14,00;55,00;11,00;18,00;21,00;3,00
2019-05-12;39,00;18,00;26,00;13,00;58,00;6,00;7,00;17,00;3,00
2019-05-19;37,00;30,00;19,00;16,00;55,00;12,00;20,00;27,00;5,00
2019-05-26;44,00;31,00;18,00;19,00;65,00;10,00;25,00;21,00;6,00
2019-06-02;45,00;32,00;13,00;23,00;62,00;12,00;15,00;22,00;3,00
2019-06-09;45,00;21,00;15,00;19,00;64,00;16,00;18,00;24,00;3,00
2019-06-16;38,00;25,00;19,00;20,00;71,00;15,00;28,00;27,00;3,00
