Ski;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;67,00;62,21;89,33;25,52;12,76;24,00;42,00;36,00;17,00
2019-01-13;66,00;48,71;94,29;18,86;11,00;20,00;37,00;30,00;17,00
2019-01-20;73,00;49,20;88,87;17,46;15,87;21,00;33,00;29,00;16,00
2019-01-27;70,00;50,91;89,09;20,68;17,50;16,00;27,00;24,00;14,00
2019-02-03;76,00;38,00;96,58;23,75;19,00;16,00;26,00;25,00;13,00
2019-02-10;82,00;29,96;104,08;18,92;17,35;17,00;31,00;22,00;14,00
2019-02-17;80,00;29,80;97,25;15,69;14,12;18,00;30,00;23,00;14,00
2019-02-24;58,00;39,19;73,68;14,11;12,54;13,00;23,00;18,00;11,00
2019-03-03;43,00;31,85;60,52;11,15;11,15;12,00;20,00;16,00;10,00
2019-03-10;33,00;23,57;56,57;9,43;9,43;11,00;16,00;12,00;8,00
2019-03-17;26,00;19,88;47,41;7,65;6,12;8,00;10,00;12,00;6,00
2019-03-24;18,00;12,00;28,50;4,50;4,50;5,00;9,00;11,00;5,00
2019-03-31;16,00;19,20;27,20;3,20;3,20;6,00;7,00;9,00;4,00
2019-04-07;14,00;10,89;23,33;3,11;4,67;5,00;7,00;10,00;3,00
2019-04-14;12,00;7,50;24,00;3,00;4,50;5,00;4,00;6,00;3,00
2019-04-21;7,00;7,00;11,20;1,40;2,80;4,00;5,00;6,00;2,00
2019-04-28;6,00;6,00;7,50;1,50;1,50;3,00;6,00;5,00;2,00
2019-05-05;5,00;5,00;8,33;1,67;1,67;2,00;5,00;4,00;2,00
2019-05-12;4,00;6,00;6,00;2,00;2,00;3,00;3,00;4,00;2,00
2019-05-19;4,00;6,00;4,00;2,00;2,00;1,00;4,00;5,00;2,00
2019-05-26;3,00;3,00;6,00;1,50;1,50;2,00;4,00;4,00;2,00
2019-06-02;4,00;8,00;6,00;2,00;2,00;2,00;4,00;5,00;2,00
2019-06-09;5,00;5,00;6,67;1,67;1,67;2,00;4,00;5,00;2,00
2019-06-16;4,00;5,33;2,67;1,33;1,33;3,00;4,00;5,00;2,00
2019-06-23;4,00;4,00;5,33;1,33;1,33;3,00;3,00;5,00;2,00
2019-06-30;5,00;5,00;8,33;1,67;1,67;2,00;5,00;6,00;3,00
2019-07-07;5,00;8,33;6,67;1,67;1,67;2,00;7,00;6,00;2,00
2019-07-14;6,00;6,00;6,00;1,50;1,50;2,00;6,00;6,00;3,00
2019-07-21;9,00;9,00;6,00;1,50;1,50;3,00;9,00;6,00;3,00
2019-07-28;9,00;12,00;7,50;1,50;1,50;4,00;9,00;7,00;3,00
2019-08-04;9,00;13,50;7,50;1,50;1,50;4,00;9,00;6,00;3,00
2019-08-11;13,00;21,13;11,38;3,25;1,63;5,00;12,00;8,00;3,00
2019-08-18;13,00;16,25;13,00;1,63;3,25;5,00;11,00;7,00;3,00
2019-08-25;12,00;13,50;9,00;3,00;3,00;5,00;10,00;8,00;3,00
2019-09-01;13,00;16,25;13,00;3,25;4,88;4,00;14,00;9,00;3,00
2019-09-08;15,00;25,50;9,00;3,00;3,00;5,00;16,00;10,00;3,00
2019-09-15;15,00;23,33;15,00;3,33;3,33;6,00;13,00;10,00;4,00
2019-09-22;17,00;23,18;13,91;3,09;3,09;5,00;14,00;11,00;4,00
2019-09-29;18,00;19,50;12,00;4,50;3,00;5,00;16,00;11,00;4,00
2019-10-06;17,00;23,18;18,55;4,64;3,09;7,00;17,00;13,00;5,00
2019-10-13;19,00;26,92;15,83;4,75;3,17;6,00;16,00;12,00;5,00
2019-10-20;22,00;22,00;17,29;6,29;4,71;6,00;16,00;14,00;5,00
2019-10-27;22,00;29,86;17,29;6,29;4,71;7,00;20,00;13,00;5,00
2019-11-03;29,00;21,37;22,89;6,11;6,11;10,00;21,00;15,00;7,00
2019-11-10;42,00;30,69;37,15;8,08;11,31;16,00;21,00;15,00;7,00
2019-11-17;43,00;31,85;50,96;9,56;11,15;16,00;21,00;15,00;9,00
2019-11-24;39,00;31,20;42,12;6,24;12,48;15,00;19,00;15,00;9,00
2019-12-01;40,00;25,60;52,80;9,60;16,00;17,00;20,00;15,00;11,00
2019-12-08;44,00;28,29;62,86;11,00;12,57;18,00;23,00;16,00;11,00
2019-12-15;50,00;38,71;67,74;12,90;12,90;21,00;27,00;17,00;14,00
2019-12-22;87,00;44,29;132,87;20,56;17,40;37,00;34,00;26,00;18,00
2019-12-29;90,00;50,53;157,89;22,11;20,53;45,00;38,00;31,00;19,00
2020-01-05;64,00;46,83;98,34;17,17;14,05;28,00;39,00;32,00;15,00
2020-01-12;65,00;50,73;82,44;15,85;11,10;24,00;35,00;28,00;15,00
2020-01-19;71,00;50,49;78,89;14,20;15,78;21,00;32,00;25,00;14,00
2020-01-26;65,00;44,39;79,27;12,68;15,85;18,00;28,00;24,00;11,00
2020-02-02;68,00;37,95;88,56;14,23;12,65;21,00;33,00;23,00;12,00
2020-02-09;71,00;34,71;104,13;12,62;11,04;18,00;38,00;22,00;12,00
2020-02-16;71,00;42,60;99,40;11,04;9,47;18,00;35,00;21,00;13,00
2020-02-23;60,00;50,53;82,11;12,63;7,89;16,00;34,00;25,00;9,00
2020-03-01;45,00;41,79;51,43;9,64;6,43;17,00;32,00;19,00;8,00
2020-03-08;67,00;87,26;101,28;14,02;6,23;9,00;49,00;31,00;8,00
2020-03-15;21,00;17,77;14,54;1,62;1,62;2,00;9,00;11,00;6,00
2020-03-22;4,00;4,00;4,00;1,33;1,33;2,00;4,00;3,00;2,00
2020-03-29;4,00;4,00;2,67;0,67;1,33;1,00;2,00;4,00;2,00
2020-04-05;4,00;6,00;8,00;2,00;2,00;2,00;2,00;4,00;2,00
2020-04-12;3,00;4,50;3,00;0,75;1,50;1,00;2,00;4,00;2,00
2020-04-19;3,00;1,50;3,00;0,75;1,50;1,00;3,00;3,00;2,00
2020-04-26;4,00;4,00;4,00;1,00;2,00;2,00;1,00;3,00;1,00
2020-05-03;3,00;3,00;4,50;0,75;1,50;1,00;2,00;4,00;2,00
2020-05-10;3,00;3,00;4,50;1,50;1,50;1,00;2,00;3,00;2,00
2020-05-17;4,00;2,67;4,00;0,67;1,33;1,00;2,00;3,00;2,00
2020-05-24;3,00;3,00;6,00;0,75;0,75;2,00;3,00;3,00;2,00
2020-05-31;4,00;4,00;8,00;2,00;1,00;2,00;3,00;3,00;2,00
2020-06-07;5,00;3,33;6,67;1,67;1,67;3,00;4,00;4,00;2,00
2020-06-14;4,00;4,00;2,67;1,33;1,33;3,00;4,00;4,00;2,00
2020-06-21;5,00;5,00;3,33;1,67;1,67;2,00;2,00;4,00;2,00
2020-06-28;5,00;6,67;5,00;1,67;1,67;3,00;4,00;4,00;2,00
2020-07-05;7,00;5,25;7,00;1,75;0,88;2,00;5,00;4,00;3,00
2020-07-12;6,00;4,50;6,00;1,50;1,50;3,00;4,00;4,00;2,00
2020-07-19;7,00;5,25;8,75;1,75;1,75;3,00;3,00;5,00;3,00
2020-07-26;8,00;4,80;8,00;1,60;1,60;3,00;4,00;4,00;3,00
2020-08-02;9,00;5,40;10,80;1,80;1,80;4,00;4,00;4,00;3,00
2020-08-09;10,00;6,67;8,33;1,67;1,67;5,00;4,00;4,00;3,00
2020-08-16;11,00;9,43;9,43;1,57;1,57;4,00;5,00;5,00;3,00
2020-08-23;11,00;11,00;6,29;1,57;1,57;5,00;7,00;5,00;3,00
2020-08-30;12,00;12,00;13,71;1,71;1,71;4,00;7,00;6,00;3,00
2020-09-06;12,00;7,50;9,00;1,50;1,50;4,00;7,00;5,00;4,00
2020-09-13;11,00;7,86;7,86;1,57;1,57;3,00;7,00;5,00;4,00
2020-09-20;15,00;13,33;13,33;3,33;1,67;5,00;8,00;5,00;4,00
2020-09-27;16,00;11,20;14,40;3,20;3,20;4,00;8,00;5,00;4,00
2020-10-04;16,00;12,80;17,60;3,20;3,20;5,00;9,00;5,00;4,00
2020-10-11;17,00;10,82;20,09;3,09;3,09;4,00;6,00;5,00;5,00
2020-10-18;17,00;6,18;15,45;3,09;1,55;4,00;6,00;5,00;5,00
2020-10-25;11,00;6,29;18,86;3,14;3,14;5,00;6,00;5,00;5,00
2020-11-01;9,00;7,50;18,00;1,50;3,00;2,00;5,00;4,00;5,00
2020-11-08;12,00;9,00;19,50;3,00;3,00;3,00;5,00;5,00;7,00
2020-11-15;14,00;10,89;23,33;1,56;3,11;4,00;5,00;7,00;8,00
2020-11-22;45,00;26,38;45,00;4,66;4,66;6,00;12,00;9,00;8,00
2020-11-29;31,00;26,35;60,45;6,20;6,20;9,00;12,00;9,00;9,00
2020-12-06;31,00;19,58;66,89;4,89;11,42;9,00;13,00;8,00;10,00
2020-12-13;29,00;16,11;74,11;3,22;8,06;6,00;10,00;7,00;13,00
2020-12-20;35,00;14,32;106,59;6,36;9,55;8,00;12,00;7,00;16,00
2020-12-27;63,00;25,20;146,48;7,88;11,03;13,00;15,00;10,00;19,00
2021-01-03;81,00;33,35;111,18;6,35;12,71;12,00;15,00;9,00;15,00
2021-01-10;45,00;30,54;94,82;4,82;9,64;12,00;10,00;8,00;14,00
2021-01-17;64,00;21,85;87,41;4,68;4,68;7,00;10,00;9,00;14,00
2021-01-24;25,00;9,38;82,81;3,13;4,69;8,00;6,00;7,00;13,00
2021-01-31;34,00;7,73;68,00;3,09;4,64;14,00;9,00;7,00;14,00
2021-02-07;47,00;12,53;100,27;4,70;4,70;22,00;12,00;7,00;13,00
2021-02-14;49,00;12,65;109,06;4,74;4,74;18,00;11,00;7,00;14,00
2021-02-21;31,00;7,75;79,05;3,10;3,10;6,00;5,00;6,00;11,00
2021-02-28;20,00;9,23;41,54;3,08;4,62;4,00;6,00;5,00;9,00
2021-03-07;13,00;7,22;33,22;2,89;4,33;2,00;8,00;5,00;8,00
2021-03-14;12,00;4,50;48,00;1,50;4,50;2,00;5,00;5,00;6,00
2021-03-21;9,00;6,00;43,50;1,50;4,50;3,00;4,00;4,00;6,00
2021-03-28;6,00;3,00;30,00;1,50;3,00;2,00;3,00;3,00;4,00
2021-04-04;3,00;4,50;36,00;1,50;1,50;2,00;4,00;3,00;4,00
2021-04-11;3,00;4,50;21,00;1,50;1,50;2,00;3,00;3,00;3,00
2021-04-18;3,00;3,00;9,00;1,50;1,50;2,00;2,00;3,00;3,00
2021-04-25;3,00;1,50;6,00;0,75;1,50;2,00;4,00;2,00;3,00
2021-05-02;4,00;2,00;10,00;1,00;2,00;2,00;3,00;2,00;3,00
2021-05-09;4,00;2,67;4,00;1,33;1,33;1,00;3,00;3,00;3,00
2021-05-16;4,00;4,00;4,00;1,33;1,33;3,00;3,00;2,00;3,00
2021-05-23;4,00;4,00;5,33;1,33;1,33;3,00;3,00;4,00;3,00
2021-05-30;2,00;2,00;6,00;1,00;2,00;2,00;3,00;2,00;3,00
2021-06-06;4,00;4,00;8,00;1,00;2,00;2,00;3,00;2,00;3,00
2021-06-13;2,00;2,00;3,00;0,50;1,00;2,00;3,00;2,00;3,00
2021-06-20;3,00;3,00;3,00;1,50;0,75;2,00;3,00;2,00;3,00
2021-06-27;4,00;4,00;8,00;1,00;2,00;2,00;4,00;2,00;3,00
2021-07-04;4,00;4,00;5,33;1,33;1,33;2,00;3,00;3,00;3,00
2021-07-11;5,00;3,33;5,00;1,67;1,67;3,00;4,00;3,00;3,00
2021-07-18;5,00;5,00;6,67;0,83;1,67;3,00;4,00;3,00;3,00
2021-07-25;5,00;5,00;5,00;1,67;1,67;3,00;4,00;3,00;3,00
2021-08-01;7,00;5,60;4,20;1,40;1,40;3,00;4,00;4,00;3,00
2021-08-08;8,00;9,60;11,20;1,60;1,60;4,00;5,00;4,00;3,00
2021-08-15;9,00;12,60;5,40;1,80;1,80;5,00;7,00;4,00;3,00
2021-08-22;8,00;12,80;6,40;1,60;3,20;4,00;10,00;5,00;4,00
2021-08-29;10,00;8,57;5,71;1,43;1,43;4,00;8,00;5,00;4,00
2021-09-05;10,00;13,33;6,67;1,67;1,67;4,00;7,00;5,00;4,00
2021-09-12;11,00;15,71;9,43;1,57;3,14;3,00;12,00;7,00;4,00
2021-09-19;13,00;16,25;11,38;3,25;1,63;4,00;12,00;7,00;5,00
2021-09-26;15,00;13,33;13,33;3,33;3,33;4,00;15,00;8,00;5,00
2021-10-03;17,00;21,64;13,91;3,09;3,09;4,00;16,00;10,00;5,00
2021-10-10;17,00;21,64;13,91;4,64;3,09;6,00;18,00;9,00;6,00
2021-10-17;21,00;19,38;19,38;4,85;3,23;6,00;15,00;9,00;6,00
2021-10-24;20,00;21,54;16,92;3,08;3,08;6,00;15,00;10,00;6,00
2021-10-31;26,00;27,63;24,38;6,50;6,50;8,00;16,00;12,00;7,00
2021-11-07;31,00;26,35;24,80;6,20;7,75;11,00;20,00;12,00;8,00
2021-11-14;29,00;19,84;21,37;6,11;7,63;12,00;21,00;12,00;8,00
