Tout_inclus;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;79,00;53,00;39,00;40,00;8,00;38,54;90,56;192,68;94,41
2019-01-13;80,00;47,00;33,00;40,00;12,00;38,10;81,90;173,33;87,62
2019-01-20;68,00;46,00;33,00;37,00;11,00;35,89;62,33;149,22;83,11
2019-01-27;79,00;51,00;38,00;37,00;12,00;34,68;65,51;142,59;79,00
2019-02-03;85,00;51,00;39,00;31,00;10,00;30,22;66,11;141,67;73,67
2019-02-10;100,00;44,00;43,00;29,00;14,00;32,69;63,46;125,00;69,23
2019-02-17;96,00;37,00;40,00;27,00;13,00;32,64;57,60;124,80;80,64
2019-02-24;90,00;44,00;26,00;26,00;12,00;36,38;55,53;124,47;78,51
2019-03-03;85,00;42,00;37,00;26,00;9,00;32,84;52,16;121,70;77,27
2019-03-10;67,00;33,00;27,00;27,00;11,00;32,54;51,69;118,69;70,83
2019-03-17;69,00;40,00;32,00;28,00;12,00;32,58;51,75;128,42;65,17
2019-03-24;62,00;40,00;27,00;23,00;14,00;32,94;52,31;122,06;67,81
2019-03-31;64,00;38,00;34,00;24,00;11,00;29,09;52,36;124,12;62,06
2019-04-07;63,00;35,00;43,00;26,00;14,00;28,64;53,45;127,91;59,18
2019-04-14;55,00;44,00;21,00;25,00;14,00;26,55;47,41;121,38;55,00
2019-04-21;60,00;39,00;33,00;27,00;12,00;34,84;50,32;147,10;56,13
2019-04-28;59,00;41,00;38,00;27,00;12,00;32,35;68,52;146,55;53,29
2019-05-05;57,00;34,00;26,00;27,00;13,00;28,50;53,20;140,60;51,30
2019-05-12;53,00;33,00;33,00;27,00;17,00;26,50;49,21;151,43;53,00
2019-05-19;51,00;40,00;45,00;30,00;17,00;35,89;64,22;154,89;54,78
2019-05-26;53,00;44,00;31,00;32,00;15,00;32,18;58,68;160,89;58,68
2019-06-02;52,00;43,00;31,00;37,00;17,00;38,52;63,56;163,70;59,70
2019-06-09;61,00;55,00;40,00;39,00;19,00;43,84;57,19;162,03;61,00
2019-06-16;63,00;53,00;44,00;43,00;21,00;53,45;59,18;168,00;64,91
2019-06-23;61,00;48,00;30,00;42,00;19,00;47,66;62,91;167,75;57,19
2019-06-30;63,00;53,00;44,00;43,00;25,00;51,55;74,45;166,09;51,55
2019-07-07;65,00;71,00;50,00;46,00;23,00;51,62;87,94;168,24;57,35
2019-07-14;84,00;63,00;50,00;46,00;20,00;45,82;89,73;168,00;57,27
2019-07-21;80,00;62,00;49,00;43,00;25,00;49,52;80,00;160,00;57,14
2019-07-28;83,00;56,00;43,00;43,00;25,00;52,82;81,11;152,80;54,70
2019-08-04;84,00;61,00;51,00;44,00;21,00;55,36;84,00;169,91;53,45
2019-08-11;81,00;45,00;33,00;38,00;25,00;47,09;79,12;146,93;50,86
2019-08-18;69,00;48,00;39,00;34,00;20,00;40,25;61,33;138,00;47,92
2019-08-25;61,00;43,00;35,00;37,00;23,00;34,31;61,00;144,88;43,84
2019-09-01;54,00;36,00;31,00;30,00;15,00;27,00;61,71;136,93;46,29
2019-09-08;46,00;31,00;33,00;33,00;14,00;21,08;47,92;139,92;42,17
2019-09-15;48,00;31,00;29,00;30,00;14,00;17,28;51,84;145,92;48,00
2019-09-22;46,00;27,00;32,00;32,00;13,00;13,42;49,83;180,17;46,00
2019-09-29;48,00;29,00;30,00;29,00;10,00;13,44;42,24;124,80;48,00
2019-10-06;41,00;33,00;28,00;25,00;12,00;15,62;48,81;121,05;42,95
2019-10-13;43,00;33,00;24,00;27,00;10,00;15,64;39,09;103,59;44,95
2019-10-20;43,00;33,00;23,00;25,00;9,00;11,73;44,95;87,95;46,91
2019-10-27;42,00;33,00;16,00;22,00;6,00;11,45;34,36;80,18;42,00
2019-11-03;42,00;42,00;23,00;27,00;8,00;15,27;36,27;87,82;47,73
2019-11-10;41,00;31,00;26,00;20,00;9,00;13,67;37,10;82,00;46,86
2019-11-17;41,00;37,00;22,00;23,00;7,00;17,57;39,05;74,19;48,81
2019-11-24;37,00;31,00;19,00;23,00;8,00;15,58;35,05;75,95;50,63
2019-12-01;33,00;24,00;23,00;22,00;9,00;13,59;33,00;69,88;50,47
2019-12-08;36,00;36,00;23,00;21,00;7,00;11,37;36,00;66,32;49,26
2019-12-15;49,00;35,00;25,00;21,00;9,00;15,08;37,69;79,15;49,00
2019-12-22;56,00;30,00;27,00;32,00;10,00;17,38;52,14;123,59;65,66
2019-12-29;66,00;51,00;40,00;37,00;12,00;27,18;64,06;180,53;91,24
2020-01-05;67,00;49,00;33,00;42,00;12,00;32,54;88,06;183,77;99,54
2020-01-12;70,00;50,00;43,00;41,00;11,00;34,05;75,68;187,30;100,27
2020-01-19;67,00;39,00;41,00;38,00;12,00;30,63;70,83;168,46;95,71
2020-01-26;67,00;42,00;35,00;34,00;9,00;26,80;61,26;147,40;70,83
2020-02-02;59,00;45,00;39,00;29,00;10,00;26,65;55,19;137,03;74,23
2020-02-09;65,00;45,00;28,00;28,00;8,00;26,76;55,44;124,26;70,74
2020-02-16;61,00;48,00;41,00;29,00;13,00;24,78;57,19;137,25;80,06
2020-02-23;51,00;29,00;25,00;24,00;10,00;15,11;39,67;105,78;68,00
2020-03-01;32,00;28,00;22,00;20,00;9,00;13,18;32,00;86,59;52,71
2020-03-08;28,00;23,00;15,00;16,00;4,00;3,73;24,27;70,93;52,27
2020-03-15;8,00;6,00;3,00;9,00;3,00;4,00;8,00;40,00;32,00
2020-03-22;12,00;7,00;10,00;7,00;2,00;4,00;8,00;32,00;26,00
2020-03-29;11,00;9,00;4,00;6,00;3,00;3,67;7,33;27,50;22,00
2020-04-05;11,00;8,00;7,00;9,00;2,00;3,67;5,50;40,33;23,83
2020-04-12;11,00;6,00;14,00;8,00;2,00;3,67;7,33;40,33;27,50
2020-04-19;10,00;9,00;6,00;7,00;2,00;4,00;8,00;38,00;28,00
2020-04-26;8,00;9,00;7,00;7,00;2,00;6,00;8,00;36,00;26,00
2020-05-03;10,00;9,00;8,00;8,00;2,00;4,00;8,00;42,00;30,00
2020-05-10;9,00;6,00;11,00;10,00;2,00;3,60;12,60;32,40;28,80
2020-05-17;14,00;12,00;12,00;13,00;3,00;8,00;18,00;42,00;32,00
2020-05-24;15,00;11,00;13,00;14,00;4,00;9,38;18,75;43,13;30,00
2020-05-31;26,00;13,00;23,00;14,00;4,00;16,71;29,71;50,14;31,57
2020-06-07;25,00;14,00;22,00;17,00;4,00;17,31;23,08;50,00;38,46
2020-06-14;30,00;20,00;14,00;16,00;4,00;20,63;24,38;50,63;39,38
2020-06-21;31,00;20,00;22,00;19,00;6,00;27,13;32,94;71,69;42,63
2020-06-28;37,00;27,00;19,00;22,00;6,00;35,15;37,00;62,90;33,30
2020-07-05;38,00;28,00;31,00;21,00;6,00;34,20;39,90;68,40;38,00
2020-07-12;30,00;20,00;24,00;20,00;7,00;31,88;45,00;76,88;35,63
2020-07-19;29,00;12,00;31,00;21,00;7,00;34,80;40,60;85,07;38,67
2020-07-26;32,00;11,00;27,00;17,00;8,00;33,88;39,53;60,24;35,76
2020-08-02;34,00;14,00;24,00;19,00;10,00;39,67;35,89;60,44;37,78
2020-08-09;34,00;20,00;17,00;15,00;10,00;34,00;26,44;71,78;37,78
2020-08-16;33,00;17,00;14,00;15,00;10,00;25,24;31,06;62,12;38,82
2020-08-23;28,00;17,00;12,00;13,00;8,00;16,80;26,13;65,33;35,47
2020-08-30;27,00;17,00;11,00;15,00;9,00;11,57;28,93;61,71;36,64
2020-09-06;25,00;18,00;16,00;15,00;5,00;9,62;38,46;55,77;38,46
2020-09-13;21,00;11,00;16,00;14,00;3,00;5,73;17,18;55,36;38,18
2020-09-20;18,00;10,00;21,00;12,00;4,00;3,60;14,40;46,80;36,00
2020-09-27;17,00;14,00;15,00;12,00;4,00;1,89;13,22;51,00;41,56
2020-10-04;17,00;5,00;15,00;11,00;4,00;3,78;13,22;49,11;43,44
2020-10-11;18,00;8,00;13,00;10,00;3,00;3,60;14,40;41,40;41,40
2020-10-18;17,00;5,00;8,00;8,00;3,00;1,89;11,33;51,00;43,44
2020-10-25;10,00;4,00;7,00;7,00;3,00;2,00;12,00;46,00;40,00
2020-11-01;8,00;8,00;11,00;5,00;2,00;2,00;14,00;34,00;36,00
2020-11-08;11,00;12,00;8,00;5,00;2,00;1,83;11,00;44,00;40,33
2020-11-15;12,00;12,00;4,00;5,00;3,00;4,00;16,00;42,00;42,00
2020-11-22;17,00;12,00;9,00;5,00;2,00;3,78;15,11;43,44;37,78
2020-11-29;16,00;11,00;7,00;6,00;2,00;3,56;14,22;39,11;37,33
2020-12-06;18,00;14,00;12,00;4,00;2,00;2,00;18,00;44,00;44,00
2020-12-13;20,00;15,00;10,00;6,00;2,00;3,64;10,91;36,36;38,18
2020-12-20;20,00;14,00;7,00;7,00;4,00;3,64;7,27;34,55;43,64
2020-12-27;33,00;12,00;9,00;10,00;2,00;7,76;15,53;52,41;56,29
2021-01-03;34,00;11,00;19,00;10,00;2,00;7,56;17,00;41,56;58,56
2021-01-10;26,00;14,00;14,00;9,00;3,00;3,71;14,86;39,00;59,43
2021-01-17;22,00;10,00;14,00;9,00;1,00;5,50;9,17;40,33;55,00
2021-01-24;16,00;8,00;12,00;9,00;2,00;5,33;10,67;28,44;51,56
2021-01-31;17,00;10,00;18,00;8,00;3,00;7,56;13,22;30,22;52,89
2021-02-07;17,00;6,00;12,00;8,00;3,00;3,78;11,33;30,22;52,89
2021-02-14;22,00;10,00;20,00;9,00;3,00;4,00;18,00;36,00;72,00
2021-02-21;21,00;10,00;14,00;8,00;3,00;5,73;13,36;49,64;70,64
2021-02-28;22,00;13,00;15,00;10,00;4,00;8,00;16,00;44,00;82,00
2021-03-07;23,00;9,00;17,00;9,00;3,00;5,75;17,25;46,00;80,50
2021-03-14;23,00;11,00;19,00;12,00;6,00;5,75;15,33;42,17;92,00
2021-03-21;23,00;11,00;17,00;8,00;6,00;7,67;13,42;38,33;86,25
2021-03-28;16,00;6,00;12,00;6,00;4,00;12,00;12,00;30,00;84,00
2021-04-04;24,00;12,00;19,00;11,00;3,00;14,77;14,77;29,54;92,31
2021-04-11;23,00;18,00;17,00;8,00;6,00;15,33;15,33;26,83;90,08
2021-04-18;27,00;18,00;21,00;9,00;7,00;13,50;17,36;30,86;84,86
2021-04-25;29,00;15,00;18,00;12,00;6,00;19,33;17,40;29,00;79,27
2021-05-02;37,00;22,00;21,00;16,00;7,00;18,50;22,20;35,15;75,85
2021-05-09;45,00;29,00;27,00;23,00;10,00;24,38;35,63;33,75;76,88
2021-05-16;45,00;37,00;25,00;24,00;10,00;26,25;43,13;30,00;80,63
2021-05-23;49,00;44,00;35,00;34,00;10,00;32,04;49,00;33,92;77,27
2021-05-30;48,00;52,00;37,00;36,00;12,00;40,32;57,60;36,48;82,56
2021-06-06;54,00;51,00;37,00;36,00;14,00;36,64;59,79;30,86;86,79
2021-06-13;54,00;50,00;40,00;42,00;16,00;39,10;55,86;27,93;85,66
2021-06-20;80,00;42,00;41,00;43,00;13,00;47,62;64,76;38,10;85,71
2021-06-27;54,00;56,00;31,00;36,00;17,00;40,50;57,86;40,50;84,86
2021-07-04;49,00;60,00;50,00;40,00;16,00;50,88;52,77;47,12;81,04
2021-07-11;46,00;52,00;40,00;34,00;17,00;40,25;51,75;49,83;84,33
2021-07-18;51,00;59,00;40,00;36,00;19,00;34,00;58,56;52,89;71,78
2021-07-25;51,00;56,00;48,00;35,00;17,00;30,22;73,67;54,78;68,00
2021-08-01;53,00;49,00;34,00;35,00;19,00;34,07;83,29;64,36;58,68
2021-08-08;60,00;43,00;36,00;34,00;18,00;36,77;69,68;69,68;56,13
2021-08-15;52,00;47,00;33,00;33,00;18,00;36,59;69,33;61,63;53,93
2021-08-22;45,00;53,00;23,00;32,00;15,00;31,30;54,78;64,57;50,87
2021-08-29;49,00;41,00;33,00;30,00;12,00;20,73;54,65;62,19;49,00
2021-09-05;42,00;34,00;31,00;35,00;12,00;13,36;55,36;63,00;49,64
2021-09-12;40,00;37,00;24,00;30,00;11,00;11,43;53,33;70,48;49,52
2021-09-19;43,00;34,00;34,00;30,00;9,00;7,82;50,82;70,36;50,82
2021-09-26;40,00;36,00;32,00;28,00;7,00;9,52;45,71;59,05;49,52
2021-10-03;37,00;26,00;25,00;26,00;9,00;7,79;44,79;68,16;54,53
2021-10-10;40,00;35,00;25,00;30,00;5,00;9,52;41,90;66,67;53,33
2021-10-17;37,00;27,00;20,00;25,00;7,00;9,74;44,79;62,32;54,53
2021-10-24;40,00;29,00;26,00;22,00;7,00;7,62;26,67;53,33;55,24
2021-10-31;41,00;42,00;18,00;22,00;6,00;9,32;29,82;44,73;52,18
2021-11-07;39,00;31,00;21,00;18,00;6,00;9,75;21,45;50,70;54,60
2021-11-14;33,00;22,00;16,00;15,00;5,00;9,71;23,29;44,65;52,41
2021-11-21;26,00;19,00;11,00;12,00;4,00;6,00;18,00;40,00;56,00
2021-11-28;21,00;16,00;13,00;11,00;4,00;5,73;17,18;26,73;51,55
2021-12-05;22,00;16,00;7,00;14,00;4,00;8,00;24,00;26,00;50,00
2021-12-12;22,00;18,00;11,00;16,00;4,00;7,33;27,50;23,83;49,50
2021-12-19;29,00;23,00;14,00;14,00;7,00;7,73;27,07;25,13;50,27
2021-12-26;39,00;33,00;21,00;25,00;5,00;9,29;37,14;53,86;61,29
2022-01-02;48,00;44,00;23,00;33,00;5,00;17,28;55,68;92,16;90,24
2022-01-09;47,00;46,00;26,00;30,00;7,00;11,75;68,54;107,71;97,92
