Train;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;63,00;7,00;15,00;4,00;3,00;5,56;85,24;87,09;7,41
2019-01-13;62,00;15,00;4,00;3,00;4,00;3,76;90,18;88,30;7,52
2019-01-20;63,00;18,00;4,00;4,00;3,00;5,56;92,65;87,09;7,41
2019-01-27;64,00;8,00;11,00;4,00;2,00;1,83;102,40;74,97;7,31
2019-02-03;70,00;11,00;17,00;5,00;5,00;5,53;182,37;90,26;7,37
2019-02-10;71,00;22,00;7,00;4,00;3,00;3,74;168,16;89,68;7,47
2019-02-17;82,00;18,00;11,00;4,00;5,00;5,47;138,49;102,04;7,29
2019-02-24;74,00;21,00;10,00;5,00;5,00;5,55;133,20;90,65;7,40
2019-03-03;74,00;14,00;10,00;4,00;3,00;5,55;125,80;90,65;7,40
2019-03-10;69,00;11,00;16,00;3,00;2,00;7,46;100,70;83,92;7,46
2019-03-17;77,00;18,00;21,00;4,00;4,00;7,33;106,33;91,67;7,33
2019-03-24;78,00;11,00;15,00;4,00;5,00;7,26;110,65;87,07;7,26
2019-03-31;72,00;18,00;9,00;2,00;3,00;3,69;153,23;88,62;7,38
2019-04-07;72,00;16,00;13,00;5,00;3,00;5,54;173,54;105,23;7,38
2019-04-14;78,00;28,00;17,00;7,00;4,00;11,14;182,00;94,71;7,43
2019-04-21;71,00;13,00;17,00;5,00;5,00;9,10;182,05;87,38;7,28
2019-04-28;62,00;10,00;19,00;5,00;7,00;7,29;165,94;91,18;7,29
2019-05-05;66,00;17,00;9,00;5,00;3,00;7,33;108,17;89,83;7,33
2019-05-12;70,00;15,00;20,00;5,00;6,00;5,53;119,74;93,95;7,37
2019-05-19;70,00;7,00;16,00;5,00;4,00;7,37;128,95;95,79;9,21
2019-05-26;75,00;11,00;6,00;5,00;6,00;7,32;150,00;104,27;9,15
2019-06-02;76,00;12,00;23,00;7,00;6,00;9,27;137,17;90,83;9,27
2019-06-09;78,00;15,00;13,00;6,00;6,00;7,26;126,98;96,14;9,07
2019-06-16;82,00;20,00;21,00;5,00;6,00;7,45;141,64;98,77;9,32
