Voyage;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;81,00;63,00;70,00;81,00;73,00;62,44;62,44;81,00;42,19
2019-01-13;81,00;54,00;72,00;78,00;72,00;62,44;59,06;81,00;42,19
2019-01-20;72,00;50,00;65,00;71,00;68,00;56,93;48,56;78,70;40,19
2019-01-27;56,00;49,00;66,00;69,00;77,00;59,29;46,12;72,47;37,88
2019-02-03;55,00;43,00;64,00;60,00;77,00;58,33;43,33;66,67;38,33
2019-02-10;52,00;47,00;62,00;54,00;74,00;58,71;43,61;60,39;40,26
2019-02-17;53,00;41,00;59,00;51,00;75,00;57,97;43,06;62,94;41,41
2019-02-24;66,00;44,00;56,00;47,00;75,00;62,62;44,00;64,31;40,62
2019-03-03;53,00;44,00;61,00;53,00;74,00;61,28;41,41;64,59;43,06
2019-03-10;51,00;44,00;59,00;50,00;75,00;62,52;41,13;59,23;41,13
2019-03-17;52,00;42,00;58,00;46,00;78,00;62,06;35,23;62,06;41,94
2019-03-24;52,00;43,00;53,00;43,00;78,00;62,06;36,90;58,71;40,26
2019-03-31;70,00;51,00;56,00;41,00;72,00;61,46;37,56;61,46;40,98
2019-04-07;70,00;44,00;62,00;42,00;77,00;58,33;38,33;70,00;38,33
2019-04-14;66,00;45,00;61,00;42,00;68,00;57,54;37,23;64,31;37,23
2019-04-21;67,00;43,00;62,00;42,00;66,00;61,98;38,53;65,33;38,53
2019-04-28;66,00;45,00;59,00;45,00;66,00;59,23;44,00;64,31;37,23
2019-05-05;64,00;41,00;60,00;43,00;69,00;57,26;40,42;62,32;37,05
2019-05-12;59,00;44,00;57,00;41,00;72,00;53,94;38,77;64,06;40,46
2019-05-19;58,00;47,00;55,00;41,00;72,00;54,59;39,24;69,94;40,94
2019-05-26;54,00;42,00;55,00;41,00;71,00;54,00;38,81;69,19;42,19
2019-06-02;58,00;48,00;56,00;42,00;78,00;63,12;44,35;71,65;46,06
2019-06-09;65,00;51,00;62,00;46,00;78,00;65,00;43,33;75,00;45,00
2019-06-16;67,00;49,00;62,00;47,00;78,00;67,00;40,20;72,03;48,58
2019-06-23;66,00;53,00;56,00;44,00;85,00;69,38;42,31;72,77;45,69
2019-06-30;73,00;59,00;63,00;50,00;89,00;71,34;48,11;71,34;41,48
2019-07-07;72,00;66,00;72,00;68,00;92,00;73,67;55,26;75,35;43,53
2019-07-14;75,00;63,00;69,00;60,00;89,00;73,33;56,67;75,00;43,33
2019-07-21;81,00;61,00;65,00;54,00;93,00;81,00;50,63;74,25;42,19
2019-07-28;96,00;65,00;70,00;52,00;99,00;80,84;53,89;75,79;40,42
2019-08-04;84,00;57,00;72,00;51,00;90,00;82,32;53,76;77,28;42,00
2019-08-11;79,00;54,00;64,00;50,00;89,00;72,28;52,11;73,96;38,66
2019-08-18;64,00;53,00;65,00;49,00;84,00;69,05;48,84;72,42;40,42
2019-08-25;62,00;51,00;57,00;47,00;79,00;62,00;45,24;70,38;36,86
2019-09-01;58,00;53,00;63,00;50,00;73,00;59,71;49,47;69,94;37,53
2019-09-08;61,00;48,00;58,00;47,00;64,00;55,92;40,67;72,86;35,58
2019-09-15;60,00;49,00;60,00;46,00;66,00;53,14;39,43;75,43;37,71
2019-09-22;68,00;52,00;64,00;96,00;74,00;51,41;44,78;84,59;36,49
2019-09-29;57,00;45,00;64,00;55,00;71,00;50,29;45,26;67,06;36,88
2019-10-06;54,00;42,00;63,00;49,00;75,00;48,94;40,50;67,50;35,44
2019-10-13;55,00;47,00;52,00;49,00;71,00;53,33;41,67;61,67;33,33
2019-10-20;60,00;49,00;54,00;47,00;61,00;51,43;42,86;63,43;36,00
2019-10-27;59,00;52,00;53,00;48,00;62,00;48,89;42,14;53,94;32,03
2019-11-03;54,00;53,00;59,00;46,00;62,00;48,94;42,19;59,06;37,13
2019-11-10;51,00;52,00;52,00;43,00;58,00;51,00;39,10;56,10;34,00
2019-11-17;50,00;47,00;52,00;42,00;61,00;50,00;38,33;50,00;35,00
2019-11-24;50,00;44,00;49,00;39,00;59,00;48,33;35,00;48,33;36,67
2019-12-01;45,00;43,00;50,00;38,00;59,00;46,67;36,67;45,00;36,67
2019-12-08;45,00;46,00;52,00;38,00;57,00;46,67;38,33;45,00;35,00
2019-12-15;50,00;46,00;53,00;40,00;53,00;46,67;36,67;53,33;38,33
2019-12-22;59,00;53,00;64,00;52,00;60,00;55,63;45,51;59,00;42,14
2019-12-29;70,00;59,00;74,00;72,00;68,00;63,17;56,34;85,37;47,80
2020-01-05;81,00;63,00;74,00;81,00;73,00;62,44;62,44;89,44;48,94
2020-01-12;81,00;64,00;74,00;74,00;78,00;65,81;60,75;87,75;50,63
2020-01-19;76,00;55,00;69,00;71,00;68,00;60,80;55,73;81,07;47,29
2020-01-26;74,00;57,00;63,00;57,00;73,00;55,50;52,14;82,41;43,73
2020-02-02;71,00;55,00;63,00;53,00;70,00;49,53;47,88;77,60;41,28
2020-02-09;76,00;52,00;56,00;46,00;68,00;52,36;45,60;84,44;43,91
2020-02-16;83,00;54,00;61,00;48,00;70,00;50,82;45,73;74,53;44,04
2020-02-23;72,00;50,00;56,00;49,00;64,00;53,58;45,21;100,47;55,26
2020-03-01;64,00;44,00;55,00;43,00;61,00;50,53;38,74;94,32;57,26
2020-03-08;72,00;65,00;72,00;79,00;67,00;26,79;56,93;167,44;88,74
2020-03-15;30,00;33,00;38,00;53,00;33,00;18,33;41,67;110,00;58,33
2020-03-22;22,00;22,00;25,00;24,00;22,00;15,23;25,38;32,15;27,08
2020-03-29;28,00;22,00;22,00;25,00;22,00;14,82;18,12;26,35;24,71
2020-04-05;23,00;21,00;24,00;26,00;25,00;14,79;14,79;29,57;23,00
2020-04-12;21,00;22,00;29,00;32,00;23,00;19,25;19,25;28,00;24,50
2020-04-19;20,00;23,00;27,00;28,00;24,00;18,33;20,00;26,67;23,33
2020-04-26;20,00;23,00;30,00;33,00;27,00;20,00;21,67;28,33;23,33
2020-05-03;21,00;24,00;32,00;31,00;36,00;21,00;26,25;31,50;29,75
2020-05-10;21,00;25,00;35,00;33,00;35,00;21,00;29,08;33,92;27,46
2020-05-17;24,00;30,00;35,00;36,00;37,00;25,71;25,71;39,43;34,29
2020-05-24;27,00;30,00;44,00;35,00;44,00;27,00;30,38;37,13;33,75
2020-05-31;32,00;46,00;52,00;39,00;44,00;37,05;40,42;40,42;32,00
2020-06-07;35,00;45,00;49,00;43,00;45,00;36,67;36,67;40,00;38,33
2020-06-14;40,00;42,00;52,00;38,00;45,00;41,67;35,00;46,67;38,33
2020-06-21;41,00;43,00;51,00;36,00;42,00;44,42;37,58;63,21;47,83
2020-06-28;42,00;50,00;57,00;39,00;48,00;50,40;40,32;77,28;48,72
2020-07-05;42,00;50,00;49,00;39,00;42,00;48,72;36,96;67,20;45,36
2020-07-12;39,00;45,00;50,00;39,00;43,00;47,48;39,00;67,83;45,78
2020-07-19;39,00;44,00;50,00;36,00;43,00;47,48;35,61;76,30;45,78
2020-07-26;41,00;51,00;46,00;36,00;52,00;51,25;34,17;85,42;44,42
2020-08-02;42,00;44,00;48,00;35,00;52,00;50,40;31,92;72,24;43,68
2020-08-09;41,00;41,00;43,00;35,00;48,00;45,92;31,16;77,08;41,00
2020-08-16;38,00;48,00;46,00;34,00;44,00;38,00;29,74;74,35;38,00
2020-08-23;36,00;47,00;40,00;33,00;42,00;31,09;29,45;63,82;34,36
2020-08-30;35,00;43,00;41,00;32,00;41,00;30,00;26,67;66,67;38,33
2020-09-06;34,00;38,00;46,00;31,00;37,00;30,60;25,50;62,90;37,40
2020-09-13;32,00;38,00;44,00;29,00;36,00;26,95;26,95;58,95;35,37
2020-09-20;31,00;35,00;44,00;29,00;33,00;22,84;26,11;55,47;34,26
2020-09-27;29,00;31,00;40,00;28,00;33,00;22,18;25,59;58,00;35,82
2020-10-04;30,00;30,00;44,00;31,00;34,00;21,67;23,33;56,67;38,33
2020-10-11;31,00;31,00;34,00;28,00;32,00;20,67;24,11;60,28;41,33
2020-10-18;28,00;27,00;33,00;23,00;30,00;16,47;18,12;52,71;39,53
2020-10-25;24,00;22,00;31,00;22,00;34,00;15,43;20,57;49,71;36,00
2020-11-01;18,00;22,00;27,00;16,00;24,00;13,09;18,00;39,27;29,45
2020-11-08;20,00;26,00;30,00;17,00;28,00;15,00;16,67;35,00;41,67
2020-11-15;23,00;23,00;28,00;16,00;32,00;14,79;16,43;34,50;47,64
2020-11-22;29,00;27,00;33,00;18,00;29,00;17,06;18,76;51,18;39,24
2020-11-29;27,00;28,00;34,00;17,00;33,00;18,56;18,56;47,25;40,50
2020-12-06;30,00;29,00;33,00;18,00;37,00;18,33;20,00;48,33;36,67
2020-12-13;33,00;30,00;33,00;20,00;36,00;16,50;23,10;61,05;36,30
2020-12-20;32,00;30,00;37,00;20,00;33,00;18,53;21,89;80,84;35,37
2020-12-27;36,00;30,00;32,00;21,00;33,00;20,57;20,57;49,71;39,43
2021-01-03;37,00;33,00;35,00;22,00;31,00;20,18;21,86;50,45;38,68
2021-01-10;35,00;27,00;31,00;19,00;29,00;18,33;20,00;40,00;41,67
2021-01-17;35,00;35,00;34,00;19,00;26,00;20,00;18,33;35,00;38,33
2021-01-24;29,00;30,00;37,00;21,00;27,00;17,06;17,06;37,53;42,65
2021-01-31;28,00;25,00;37,00;19,00;29,00;19,76;16,47;29,65;39,53
2021-02-07;28,00;23,00;37,00;18,00;31,00;19,76;16,47;32,94;41,18
2021-02-14;31,00;26,00;37,00;21,00;32,00;18,94;20,67;32,72;44,78
2021-02-21;32,00;28,00;42,00;21,00;39,00;20,21;20,21;47,16;43,79
2021-02-28;32,00;33,00;43,00;22,00;38,00;18,53;21,89;38,74;48,84
2021-03-07;36,00;28,00;45,00;24,00;38,00;18,86;22,29;41,14;49,71
2021-03-14;33,00;27,00;45,00;23,00;42,00;20,84;22,58;43,42;52,11
2021-03-21;33,00;28,00;46,00;23,00;41,00;21,45;21,45;51,15;47,85
2021-03-28;28,00;28,00;43,00;19,00;38,00;26,35;19,76;39,53;51,06
2021-04-04;27,00;27,00;46,00;22,00;37,00;27,00;23,63;47,25;50,63
2021-04-11;29,00;43,00;47,00;22,00;39,00;27,29;23,88;42,65;49,47
2021-04-18;34,00;44,00;48,00;25,00;42,00;30,60;25,50;52,70;57,80
2021-04-25;39,00;42,00;46,00;28,00;44,00;32,22;28,83;47,48;50,87
2021-05-02;44,00;49,00;58,00;33,00;48,00;37,23;32,15;93,08;52,46
2021-05-09;47,00;54,00;63,00;40,00;57,00;38,61;43,64;70,50;52,04
2021-05-16;53,00;58,00;63,00;43,00;64,00;46,38;39,75;76,19;53,00
2021-05-23;52,00;59,00;65,00;46,00;65,00;48,65;41,94;68,77;55,35
2021-05-30;58,00;81,00;74,00;46,00;70,00;54,59;46,06;93,82;56,29
2021-06-06;64,00;85,00;75,00;50,00;77,00;55,58;55,58;72,42;57,26
2021-06-13;63,00;84,00;74,00;45,00;78,00;58,03;54,71;76,26;58,03
2021-06-20;65,00;95,00;79,00;47,00;84,00;58,33;58,33;103,33;55,00
2021-06-27;62,00;92,00;86,00;48,00;92,00;60,32;67,03;87,14;55,30
2021-07-04;67,00;100,00;93,00;50,00;88,00;61,98;73,70;108,88;55,28
2021-07-11;67,00;91,00;85,00;46,00;94,00;58,63;90,45;118,93;56,95
2021-07-18;62,00;83,00;81,00;45,00;89,00;63,68;78,76;112,27;56,97
2021-07-25;67,00;82,00;74,00;46,00;91,00;58,63;77,05;118,93;53,60
2021-08-01;60,00;77,00;69,00;44,00;92,00;58,33;63,33;140,00;51,67
2021-08-08;55,00;64,00;65,00;43,00;87,00;58,33;60,00;105,00;50,00
2021-08-15;51,00;60,00;58,00;42,00;80,00;54,40;54,40;103,70;49,30
2021-08-22;49,00;57,00;61,00;41,00;82,00;47,31;49,00;152,07;49,00
2021-08-29;48,00;58,00;58,00;42,00;70,00;44,57;46,29;101,14;54,86
2021-09-05;46,00;52,00;61,00;40,00;70,00;40,89;47,70;93,70;47,70
2021-09-12;47,00;49,00;58,00;40,00;71,00;36,93;47,00;139,32;43,64
2021-09-19;47,00;49,00;64,00;40,00;62,00;35,25;45,32;100,71;41,96
2021-09-26;45,00;49,00;60,00;38,00;63,00;40,00;43,33;83,33;41,67
2021-10-03;45,00;47,00;62,00;41,00;66,00;38,33;45,00;106,67;41,67
2021-10-10;48,00;45,00;62,00;41,00;66,00;38,07;52,97;89,38;43,03
2021-10-17;49,00;50,00;57,00;39,00;61,00;38,86;45,62;79,41;40,55
2021-10-24;47,00;49,00;49,00;34,00;60,00;38,61;38,61;70,50;40,29
2021-10-31;47,00;53,00;48,00;35,00;61,00;40,29;38,61;65,46;41,96
2021-11-07;46,00;49,00;50,00;31,00;62,00;37,48;35,78;68,15;42,59
2021-11-14;44,00;45,00;44,00;30,00;59,00;38,92;37,23;64,31;40,62
2021-11-21;41,00;40,00;41,00;26,00;57,00;34,44;32,80;72,16;42,64
2021-11-28;42,00;51,00;58,00;26,00;65,00;36,96;40,32;114,24;52,08
2021-12-05;40,00;46,00;48,00;28,00;60,00;33,33;36,67;91,67;45,00
2021-12-12;44,00;55,00;54,00;32,00;63,00;42,31;47,38;108,31;45,69
